entry_time,exit_time,side,entry,exit,pnl,bars,reason,m
2026-03-12 04:00:00,2026-03-12 04:02:00,-1,5191.82,5191.22,0.3999999999994543,2,trail,2026-03
2026-03-12 04:21:00,2026-03-12 04:28:00,-1,5191.57,5193.07,-1.7,7,reverse,2026-03
2026-03-12 04:31:00,2026-03-12 05:01:00,-1,5191.92,5184.12,7.600000000000182,30,reverse,2026-03
2026-03-12 05:20:00,2026-03-12 05:27:00,-1,5183.02,5181.02,1.8,7,trail,2026-03
2026-03-12 05:56:00,2026-03-12 06:05:00,1,5197.01,5194.18,-3.0299999999999274,9,reverse,2026-03
2026-03-12 06:13:00,2026-03-12 06:15:00,1,5195.62,5192.5,-3.319999999999891,2,reverse,2026-03
2026-03-12 06:24:00,2026-03-12 06:56:00,1,5195.77,5206.58,10.609999999999491,32,reverse,2026-03
2026-03-12 07:05:00,2026-03-12 07:08:00,1,5207.39,5205.7,-1.8900000000005093,3,reverse,2026-03
2026-03-12 07:10:00,2026-03-12 07:16:00,1,5207.5,5209.16,1.4599999999998545,6,trail,2026-03
2026-03-12 07:23:00,2026-03-12 07:26:00,1,5208.43,5206.83,-1.8000000000003638,3,reverse,2026-03
2026-03-12 07:27:00,2026-03-12 07:32:00,1,5208.49,5210.49,1.8,5,trail,2026-03
2026-03-12 07:40:00,2026-03-12 08:14:00,1,5210.2,5221.76,11.360000000000401,34,reverse,2026-03
2026-03-12 08:32:00,2026-03-12 08:41:00,1,5220.84,5218.84,-2.2,9,reverse,2026-03
2026-03-12 08:43:00,2026-03-12 08:47:00,1,5221.349999999999,5218.22,-3.3299999999992,4,reverse,2026-03
2026-03-12 09:09:00,2026-03-12 09:12:00,1,5219.94,5215.92,-4.219999999999527,3,reverse,2026-03
2026-03-12 09:52:00,2026-03-12 09:55:00,1,5225.32,5223.88,-1.6399999999995998,3,reverse,2026-03
2026-03-12 09:56:00,2026-03-12 10:00:00,1,5225.96,5227.96,1.8,4,trail,2026-03
2026-03-12 10:52:00,2026-03-12 10:56:00,-1,5220.42,5222.31,-2.0900000000003276,4,reverse,2026-03
2026-03-12 11:03:00,2026-03-12 11:23:00,-1,5220.79,5218.79,1.8,20,trail,2026-03
2026-03-12 11:29:00,2026-03-12 11:30:00,-1,5216.47,5219.33,-3.0599999999996728,1,reverse,2026-03
2026-03-12 11:33:00,2026-03-12 11:36:00,-1,5217.63,5216.91,0.5200000000002547,3,trail,2026-03
2026-03-12 11:49:00,2026-03-12 11:57:00,-1,5218.3,5220.39,-2.2900000000001457,8,reverse,2026-03
2026-03-12 12:01:00,2026-03-12 12:03:00,-1,5217.2,5216.01,0.9899999999995999,2,trail,2026-03
2026-03-12 12:39:00,2026-03-12 12:44:00,-1,5209.99,5214.07,-4.279999999999927,5,reverse,2026-03
2026-03-12 13:09:00,2026-03-12 13:10:00,1,5223.13,5224.46,1.1299999999999273,1,trail,2026-03
2026-03-12 14:10:00,2026-03-12 14:12:00,-1,5195.54,5201.11,-5.769999999999709,2,reverse,2026-03
2026-03-12 14:16:00,2026-03-12 14:19:00,-1,5195.89,5194.44,1.2500000000007276,3,trail,2026-03
2026-03-12 14:48:00,2026-03-12 14:50:00,-1,5181.76,5179.87,1.6900000000003275,2,trail,2026-03
2026-03-12 15:31:00,2026-03-12 15:37:00,-1,5164.93,5162.93,1.8,6,trail,2026-03
2026-03-12 16:07:00,2026-03-12 16:14:00,-1,5170.12,5168.12,1.8,7,trail,2026-03
2026-03-12 16:30:00,2026-03-12 16:32:00,-1,5168.55,5166.599999999999,1.7500000000007276,2,trail,2026-03
2026-03-12 16:47:00,2026-03-12 17:05:00,-1,5170.29,5168.29,1.8,18,trail,2026-03
2026-03-12 17:10:00,2026-03-12 17:13:00,-1,5165.52,5163.52,1.8,3,trail,2026-03
2026-03-12 18:05:00,2026-03-12 18:06:00,-1,5146.13,5148.46,-2.5299999999999274,1,reverse,2026-03
2026-03-12 18:13:00,2026-03-12 18:15:00,-1,5146.63,5149.25,-2.819999999999891,2,reverse,2026-03
2026-03-12 18:19:00,2026-03-12 18:23:00,-1,5146.74,5144.74,1.8,4,trail,2026-03
2026-03-12 18:59:00,2026-03-12 19:01:00,-1,5134.45,5133.22,1.0299999999995635,2,trail,2026-03
2026-03-12 19:42:00,2026-03-12 19:47:00,-1,5131.92,5131.25,0.47000000000007275,5,trail,2026-03
2026-03-12 19:55:00,2026-03-12 20:01:00,-1,5130.79,5128.79,1.8,6,trail,2026-03
2026-03-12 20:11:00,2026-03-12 20:14:00,-1,5128.53,5126.95,1.3799999999999273,3,trail,2026-03
2026-03-12 22:00:00,2026-03-12 22:02:00,-1,5113.9800000000005,5111.9800000000005,1.8,2,trail,2026-03
2026-03-12 22:13:00,2026-03-12 22:15:00,-1,5115.030000000001,5119.21,-4.379999999999382,2,reverse,2026-03
2026-03-12 22:44:00,2026-03-12 22:46:00,1,5124.67,5125.88,1.0100000000000364,2,trail,2026-03
2026-03-12 22:51:00,2026-03-12 22:57:00,1,5126.16,5128.16,1.8,6,trail,2026-03
2026-03-12 23:05:00,2026-03-12 23:13:00,1,5129.75,5127.280000000001,-2.6699999999993453,8,reverse,2026-03
2026-03-12 23:16:00,2026-03-12 23:25:00,1,5129.77,5131.77,1.8,9,trail,2026-03
2026-03-12 23:32:00,2026-03-12 23:34:00,1,5130.84,5131.5,0.45999999999985447,2,trail,2026-03
2026-03-12 23:38:00,2026-03-12 23:40:00,1,5130.81,5131.39,0.37999999999992723,2,trail,2026-03
2026-03-12 23:46:00,2026-03-12 23:50:00,1,5132.280000000001,5133.18,0.6999999999996362,4,trail,2026-03
2026-03-13 00:47:00,2026-03-13 00:49:00,1,5144.400000000001,5143.25,-1.3500000000005457,2,reverse,2026-03
2026-03-13 00:51:00,2026-03-13 00:54:00,1,5144.990000000001,5146.990000000001,1.8,3,trail,2026-03
2026-03-13 01:26:00,2026-03-13 01:29:00,1,5153.93,5154.650000000001,0.5200000000002547,3,trail,2026-03
2026-03-13 01:56:00,2026-03-13 02:14:00,1,5152.37,5158.52,5.9500000000005455,18,reverse,2026-03
2026-03-13 02:28:00,2026-03-13 02:31:00,1,5156.7300000000005,5154.09,-2.8400000000003276,3,reverse,2026-03
2026-03-13 03:12:00,2026-03-13 03:22:00,-1,5146.990000000001,5148.650000000001,-1.8599999999998544,10,reverse,2026-03
2026-03-13 03:28:00,2026-03-13 03:37:00,-1,5144.820000000001,5143.9800000000005,0.6400000000001456,9,trail,2026-03
2026-03-13 04:56:00,2026-03-13 05:01:00,-1,5139.150000000001,5140.47,-1.519999999999709,5,reverse,2026-03
2026-03-13 05:04:00,2026-03-13 05:06:00,-1,5139.610000000001,5141.17,-1.7599999999994906,2,reverse,2026-03
2026-03-13 05:26:00,2026-03-13 05:30:00,-1,5143.1,5141.8,1.100000000000182,4,trail,2026-03
2026-03-13 05:37:00,2026-03-13 05:43:00,-1,5142.150000000001,5141.280000000001,0.6699999999998909,6,trail,2026-03
2026-03-13 06:14:00,2026-03-13 07:04:00,-1,5139.530000000001,5125.25,14.080000000000656,50,reverse,2026-03
2026-03-13 07:15:00,2026-03-13 07:17:00,-1,5121.12,5120.05,0.869999999999709,2,trail,2026-03
2026-03-13 07:48:00,2026-03-13 07:50:00,-1,5122.54,5121.54,0.8,2,trail,2026-03
2026-03-13 08:19:00,2026-03-13 08:30:00,-1,5109.17,5107.17,1.8,11,trail,2026-03
2026-03-13 08:44:00,2026-03-13 08:49:00,-1,5111.41,5119.08,-7.870000000000073,5,reverse,2026-03
2026-03-13 09:29:00,2026-03-13 09:36:00,1,5127.26,5123.18,-4.279999999999927,7,reverse,2026-03
2026-03-13 09:48:00,2026-03-13 09:54:00,1,5123.85,5125.85,1.8,6,trail,2026-03
2026-03-13 10:06:00,2026-03-13 10:07:00,1,5125.72,5124.01,-1.9100000000000363,1,reverse,2026-03
2026-03-13 10:08:00,2026-03-13 10:09:00,1,5124.900000000001,5124.33,-0.7700000000006184,1,reverse,2026-03
2026-03-13 10:10:00,2026-03-13 10:11:00,1,5124.9800000000005,5123.96,-1.2200000000004365,1,reverse,2026-03
2026-03-13 10:12:00,2026-03-13 10:21:00,1,5125.22,5127.22,1.8,9,trail,2026-03
2026-03-13 10:45:00,2026-03-13 10:47:00,-1,5121.16,5126.01,-5.050000000000364,2,reverse,2026-03
2026-03-13 11:17:00,2026-03-13 11:19:00,1,5128.87,5130.25,1.1800000000001092,2,trail,2026-03
2026-03-13 11:39:00,2026-03-13 11:43:00,1,5130.150000000001,5129.01,-1.3400000000003274,4,reverse,2026-03
2026-03-13 11:44:00,2026-03-13 11:46:00,1,5130.1900000000005,5131.6,1.2099999999998545,2,trail,2026-03
2026-03-13 11:51:00,2026-03-13 11:53:00,1,5131.41,5129.67,-1.9399999999997817,2,reverse,2026-03
2026-03-13 11:54:00,2026-03-13 12:11:00,1,5130.6,5143.13,12.329999999999746,17,reverse,2026-03
2026-03-13 12:21:00,2026-03-13 12:23:00,1,5146.030000000001,5148.030000000001,1.8,2,trail,2026-03
2026-03-13 12:40:00,2026-03-13 12:41:00,1,5149.37,5146.6900000000005,-2.8799999999993817,1,reverse,2026-03
2026-03-13 12:45:00,2026-03-13 12:47:00,1,5152.46,5154.46,1.8,2,trail,2026-03
2026-03-13 12:59:00,2026-03-13 13:00:00,1,5153.780000000001,5153.110000000001,-0.8700000000000727,1,reverse,2026-03
2026-03-13 13:01:00,2026-03-13 13:02:00,1,5155.2300000000005,5152.18,-3.250000000000182,1,reverse,2026-03
2026-03-13 13:04:00,2026-03-13 13:08:00,1,5155.83,5152.31,-3.7199999999995272,4,reverse,2026-03
2026-03-13 13:42:00,2026-03-13 13:43:00,-1,5138.97,5142.93,-4.160000000000037,1,reverse,2026-03
2026-03-13 13:52:00,2026-03-13 13:56:00,-1,5143.530000000001,5141.530000000001,1.8,4,trail,2026-03
