m,trades,wins,net,best,worst,win%,cum
2026-03,566,411,391.0800000000043,78.6199999999997,-21.489999999999963,72.6,391.0800000000043
2026-04,665,409,-143.620000000009,26.080000000000656,-13.090000000000327,61.5,247.45999999999532
2026-05,548,335,-72.90999999998404,44.70999999999985,-16.849999999999635,61.1,174.55000000001127
2026-06,584,350,-107.3000000000273,78.13999999999923,-16.070000000006257,59.9,67.24999999998397
2026-07,494,272,-23.260000000006418,49.540000000000234,-11.899999999999817,55.1,43.989999999977556
2026-08,502,310,17.409999999992213,31.18000000000011,-14.269999999999708,61.8,61.399999999969765
2026-09,228,144,12.460000000002218,23.56000000000022,-8.750000000000181,63.2,73.85999999997199
