m,trades,wins,net,best,worst,win%,cum
2026-03,758,522,425.47000000000696,78.6199999999997,-21.489999999999963,68.9,425.47000000000696
2026-04,1181,661,-223.25000000001384,31.280000000000474,-13.090000000000327,56.0,202.21999999999312
2026-05,1066,576,-153.63999999998143,50.36000000000131,-16.849999999999635,54.0,48.580000000011694
2026-06,1151,628,-111.4100000000328,78.13999999999923,-16.070000000006257,54.6,-62.8300000000211
2026-07,1191,603,-103.91500000000516,49.540000000000234,-11.899999999999817,50.6,-166.74500000002627
2026-08,1057,565,-33.55000000001875,56.57999999999974,-14.269999999999708,53.5,-200.295000000045
2026-09,450,267,66.19999999999708,23.56000000000022,-8.750000000000181,59.3,-134.09500000004795
