time,open,close,high,low,direction,ema_fast,ema_slow,signal,ema_trend,dist
2022-01-02 18:02:00,1829.504,1830.504,1830.504,1829.504,1,1830.504,1830.504,0,1830.504,0.0
2022-01-02 18:07:00,1830.504,1829.504,1830.504,1829.504,-1,1830.304,1830.3501538461537,-1,1830.494049751244,0.8461538461538112
2022-01-02 18:08:00,1829.504,1830.504,1830.504,1829.504,1,1830.344,1830.373822485207,0,1830.4941487586943,0.13017751479287654
2022-01-02 18:09:00,1830.504,1831.504,1831.504,1830.504,1,1830.576,1830.5476959490213,1,1830.5041970297523,0.9563040509785878
2022-01-02 18:11:00,1831.504,1830.504,1831.504,1830.504,-1,1830.5616,1830.5409734953257,0,1830.5041950692573,0.03697349532581029
2022-01-02 18:22:00,1830.504,1829.504,1830.504,1829.504,-1,1830.3500800000002,1830.3814391114295,-1,1830.4942428795136,0.8774391114295668
2022-01-02 18:42:00,1829.504,1828.504,1829.504,1828.504,-1,1829.9808640000003,1830.0926023250559,0,1830.4744394677773,1.5886023250559447
2022-01-02 19:14:00,1828.504,1827.504,1828.504,1827.504,-1,1829.4854912000003,1829.694355813509,0,1830.4448828561576,2.190355813509086
2022-01-02 19:29:00,1827.504,1828.504,1828.504,1827.504,1,1829.2891929600005,1829.5112241498923,0,1830.4255705889323,1.0072241498924086
2022-01-02 19:31:00,1828.504,1829.504,1829.504,1828.504,1,1829.3321543680004,1829.5101127422165,0,1830.416400732326,0.006112742216600964
2022-01-02 19:31:00,1829.504,1830.504,1830.504,1829.504,1,1829.5665234944004,1829.6630184741832,0,1830.4172723668305,0.8409815258166873
2022-01-02 19:34:00,1830.504,1829.504,1830.504,1829.504,-1,1829.5540187955203,1829.6385540935396,0,1830.4081850795985,0.13455409353969117
2022-01-02 20:02:00,1829.504,1830.504,1830.504,1829.504,1,1829.7440150364162,1829.7716996176105,0,1830.4091384618912,0.7323003823894396
2022-01-02 20:34:00,1830.504,1829.504,1830.504,1829.504,-1,1829.6960120291328,1829.730515061055,0,1830.4001321090366,0.22651506105512453
2022-01-02 20:40:00,1829.504,1828.504,1829.504,1828.504,-1,1829.4576096233063,1829.5418204362772,0,1830.381265122877,1.037820436277343
2022-01-02 20:46:00,1828.504,1827.504,1828.504,1827.504,-1,1829.0668876986451,1829.228309599927,0,1830.352635619167,1.7243095999269826
2022-01-02 20:51:00,1827.504,1828.504,1828.504,1827.504,1,1828.9543101589163,1829.1168773537843,0,1830.3342412348966,0.6128773537843699
2022-01-02 21:05:00,1828.504,1827.504,1828.504,1827.504,-1,1828.664248127133,1828.868742376279,0,1830.3060796305692,1.3647423762790822
2022-01-02 21:09:00,1827.504,1826.504,1827.504,1826.504,-1,1828.2321985017065,1828.5049358568515,0,1830.2682479924542,2.0009358568515836
2022-01-02 21:27:00,1826.504,1827.504,1827.504,1826.504,1,1828.0865588013653,1828.350945725028,0,1830.2407430373055,0.8469457250280357
2022-01-02 21:30:00,1827.504,1826.504,1827.504,1826.504,-1,1827.7700470410923,1828.0668002288699,0,1830.2035615145462,1.5628002288699463
2022-01-02 22:20:00,1826.504,1825.504,1826.504,1825.504,-1,1827.3168376328738,1827.6725232705821,0,1830.1567997084314,2.1685232705822273
2022-01-02 22:26:00,1825.504,1824.504,1825.504,1824.504,-1,1826.754270106299,1827.185058152031,0,1830.1005529451634,2.681058152031028
2022-01-02 22:28:00,1824.504,1825.504,1825.504,1824.504,1,1826.5042160850392,1826.9264338209493,0,1830.0548160999379,1.4224338209494363
2022-01-02 22:35:00,1825.504,1824.504,1825.504,1824.504,-1,1826.1041728680316,1826.5537516946495,0,1829.9995840989434,2.049751694649558
2022-01-02 22:58:00,1824.504,1825.504,1825.504,1824.504,1,1825.9841382944253,1826.3922514339342,0,1829.9548519188545,0.8882514339343288
2022-01-02 23:54:00,1825.504,1824.504,1825.504,1824.504,-1,1825.6881106355404,1826.101751213329,0,1829.9006145863286,1.5977512133290475
2022-01-03 00:48:00,1824.504,1825.504,1825.504,1824.504,1,1825.6512885084323,1826.0097894882015,0,1829.8568671775095,0.5057894882015717
2022-01-03 01:16:00,1825.504,1824.504,1825.504,1824.504,-1,1825.4218308067461,1825.7781295669397,0,1829.8036048175343,1.2741295669397914
2022-01-03 02:02:00,1824.504,1823.504,1824.504,1823.504,-1,1825.038264645397,1825.4282634797182,0,1829.740922182534,1.92426347971832
2022-01-03 02:06:00,1823.504,1822.504,1823.504,1822.504,-1,1824.5314117163177,1824.9783767905308,0,1829.6689130065886,2.4743767905308687
2022-01-03 02:12:00,1822.504,1821.504,1822.504,1821.504,-1,1823.9259293730543,1824.443857284295,0,1829.5876700911003,2.939857284295158
2022-01-03 02:14:00,1821.504,1822.504,1822.504,1821.504,1,1823.6415434984435,1824.1454177020958,0,1829.517185811587,1.6414177020958505
2022-01-03 02:21:00,1822.504,1823.504,1823.504,1822.504,1,1823.614034798755,1824.0467380556195,0,1829.4573531169444,0.5427380556195658
2022-01-03 02:25:00,1823.504,1822.504,1823.504,1822.504,-1,1823.3920278390042,1823.8093937393703,0,1829.3881655237412,1.3053937393704018
2022-01-03 02:57:00,1822.504,1823.504,1823.504,1822.504,1,1823.4144222712034,1823.7624100871594,0,1829.3296166130572,0.2584100871595183
2022-01-03 03:20:00,1823.504,1822.504,1823.504,1822.504,-1,1823.2323378169629,1823.5688085352886,0,1829.2617000298428,1.0648085352886483
2022-01-03 03:32:00,1822.504,1821.504,1822.504,1821.504,-1,1822.8866702535704,1823.2511456837055,0,1829.18450898477,1.7471456837056394
2022-01-03 03:47:00,1821.504,1822.504,1822.504,1821.504,1,1822.8101362028565,1823.1362001939046,0,1829.1180362585535,0.6322001939047368
2022-01-03 04:05:00,1822.504,1823.504,1823.504,1822.504,1,1822.9489089622853,1823.1927847794577,0,1829.0621752012544,0.31121522054218076
2022-01-03 04:12:00,1823.504,1824.504,1824.504,1823.504,1,1823.2599271698282,1823.3945101980028,0,1829.0168202241275,1.1094898019971424
2022-01-03 04:49:00,1824.504,1825.504,1825.504,1824.504,1,1823.7087417358625,1823.7190470906178,0,1828.9818667890615,1.7849529093821275
2022-01-03 04:54:00,1825.504,1826.504,1826.504,1825.504,1,1824.26779338869,1824.147501384369,1,1828.9572113981258,2.356498615630926
2022-01-03 05:40:00,1826.504,1825.504,1826.504,1825.504,-1,1824.515034710952,1824.3561934790814,0,1828.9228510857067,1.1478065209184933
2022-01-03 05:58:00,1825.504,1826.504,1826.504,1825.504,1,1824.9128277687616,1824.6866252515306,0,1828.8987829156997,1.8173747484693195
2022-01-03 06:22:00,1826.504,1825.504,1826.504,1825.504,-1,1825.0310622150093,1824.8123752128336,0,1828.865003981215,0.6916247871663472
2022-01-03 06:26:00,1825.504,1824.504,1825.504,1824.504,-1,1824.9256497720075,1824.7649328723976,0,1828.821610906775,0.2609328723976887
2022-01-03 06:45:00,1824.504,1823.504,1824.504,1823.504,-1,1824.6413198176062,1824.570943199721,0,1828.768699355464,1.0669431997209813
2022-01-03 06:51:00,1823.504,1822.504,1823.504,1822.504,-1,1824.213855854085,1824.2529519382254,-1,1828.7063640384943,1.7489519382254457
2022-01-03 07:34:00,1822.504,1821.504,1822.504,1821.504,-1,1823.6718846832682,1823.8300362554214,0,1828.6346987246786,2.3260362554215135
2022-01-03 08:02:00,1821.504,1820.504,1821.504,1820.504,-1,1823.0383077466147,1823.318338369972,0,1828.5537962498063,2.81433836997212
2022-01-03 08:02:00,1820.504,1819.504,1820.504,1819.504,-1,1822.3314461972918,1822.731517082284,0,1828.4637485259277,3.2275170822840664
2022-01-03 08:05:00,1819.504,1820.504,1820.504,1819.504,1,1821.9659569578334,1822.3888221465481,0,1828.384547048058,1.884822146548231
