time,open,close,high,low,direction,ema_fast,ema_slow,signal
2022-01-14 01:00:00,1822.71,1822.21,1822.71,1822.21,-1,1822.21,1822.21,0
2022-01-14 01:00:00,1822.21,1821.71,1822.21,1821.71,-1,1822.1100000000001,1822.1330769230772,-1
2022-01-14 01:00:00,1821.71,1821.21,1821.71,1821.21,-1,1821.93,1821.9910650887578,0
2022-01-14 01:45:00,1821.21,1821.71,1821.71,1821.21,1,1821.8860000000002,1821.947824305872,0
2022-01-14 02:00:00,1821.71,1821.21,1821.71,1821.21,-1,1821.7508000000003,1821.8343128741994,0
2022-01-14 02:00:00,1821.21,1820.71,1821.21,1820.71,-1,1821.5426400000003,1821.6613416627843,0
2022-01-14 02:00:00,1820.71,1820.21,1820.71,1820.21,-1,1821.2761120000005,1821.4380583300483,0
2022-01-14 02:15:00,1820.21,1820.71,1820.71,1820.21,1,1821.1628896000004,1821.3260493561947,0
2022-01-14 02:15:00,1820.71,1821.21,1821.21,1820.71,1,1821.1723116800003,1821.3081956090878,0
2022-01-14 02:30:00,1821.21,1820.71,1821.21,1820.71,-1,1821.0798493440004,1821.216165515382,0
2022-01-14 02:30:00,1820.71,1820.21,1820.71,1820.21,-1,1820.9058794752004,1821.061370820708,0
2022-01-14 02:30:00,1820.21,1819.71,1820.21,1819.71,-1,1820.6667035801604,1820.853467617522,0
2022-01-14 02:45:00,1819.71,1820.21,1820.21,1819.71,1,1820.5753628641282,1820.7544725994417,0
2022-01-14 02:45:00,1820.21,1820.71,1820.71,1820.21,1,1820.6022902913028,1820.747630661066,0
2022-01-14 02:45:00,1820.71,1821.21,1821.21,1820.71,1,1820.7238322330422,1820.8187644055174,0
2022-01-14 03:00:00,1821.21,1821.71,1821.71,1821.21,1,1820.921065786434,1820.9558775738992,0
2022-01-14 03:15:00,1821.71,1822.21,1822.21,1821.71,1,1821.1788526291473,1821.148819485607,1
2022-01-14 03:15:00,1822.21,1822.71,1822.71,1822.21,1,1821.4850821033178,1821.3890011032058,0
2022-01-14 03:30:00,1822.71,1823.21,1823.21,1822.71,1,1821.8300656826543,1821.6691547796356,0
2022-01-14 03:30:00,1823.21,1823.71,1823.71,1823.21,1,1822.2060525461236,1821.9831309673839,0
2022-01-14 03:30:00,1823.71,1824.21,1824.21,1823.71,1,1822.606842036899,1822.325726203171,0
2022-01-14 03:45:00,1824.21,1823.71,1824.21,1823.71,-1,1822.8274736295193,1822.538691402683,0
2022-01-14 03:45:00,1823.71,1823.21,1823.71,1823.21,-1,1822.9039789036156,1822.641969648424,0
2022-01-14 03:45:00,1823.21,1822.71,1823.21,1822.71,-1,1822.8651831228926,1822.6524358563588,0
2022-01-14 04:00:00,1822.71,1823.21,1823.21,1822.71,1,1822.9341464983142,1822.7382149553805,0
2022-01-14 04:00:00,1823.21,1823.71,1823.71,1823.21,1,1823.0893171986515,1822.8877203468603,0
2022-01-14 04:00:00,1823.71,1824.21,1824.21,1823.71,1,1823.3134537589215,1823.0911479858048,0
2022-01-14 04:15:00,1824.21,1824.71,1824.71,1824.21,1,1823.5927630071374,1823.3402021418349,0
2022-01-14 04:15:00,1824.71,1825.21,1825.21,1824.71,1,1823.91621040571,1823.6278633507834,0
2022-01-14 04:30:00,1825.21,1824.71,1825.21,1824.71,-1,1824.074968324568,1823.7943459122014,0
2022-01-14 04:45:00,1824.71,1825.21,1825.21,1824.71,1,1824.3019746596547,1824.0121388487858,0
2022-01-14 05:00:00,1825.21,1825.71,1825.71,1825.21,1,1824.5835797277239,1824.2733482566648,0
2022-01-14 05:15:00,1825.71,1826.21,1826.21,1825.71,1,1824.9088637821792,1824.5712946787164,0
2022-01-14 05:15:00,1826.21,1826.71,1826.71,1826.21,1,1825.2690910257436,1824.9003262666063,0
2022-01-14 05:15:00,1826.71,1827.21,1827.21,1826.71,1,1825.657272820595,1825.2556606871285,0
2022-01-14 05:30:00,1827.21,1826.71,1827.21,1826.71,-1,1825.867818256476,1825.479405196801,0
2022-01-14 05:30:00,1826.71,1826.21,1826.71,1826.21,-1,1825.936254605181,1825.5918043972933,0
2022-01-14 05:30:00,1826.21,1825.71,1826.21,1825.71,-1,1825.8910036841448,1825.6099883361712,0
2022-01-14 06:00:00,1825.71,1826.21,1826.21,1825.71,1,1825.954802947316,1825.7022978229143,0
2022-01-14 06:15:00,1826.21,1826.71,1826.71,1826.21,1,1826.105842357853,1825.8573289270814,0
2022-01-14 06:15:00,1826.71,1827.21,1827.21,1826.71,1,1826.3266738862824,1826.065432169069,0
2022-01-14 06:30:00,1827.21,1826.71,1827.21,1826.71,-1,1826.403339109026,1826.1645964507509,0
2022-01-14 06:30:00,1826.71,1826.21,1826.71,1826.21,-1,1826.364671287221,1826.171581612174,0
2022-01-14 07:15:00,1826.21,1826.71,1826.71,1826.21,1,1826.433737029777,1826.254415210301,0
2022-01-14 07:30:00,1826.71,1827.21,1827.21,1826.71,1,1826.5889896238216,1826.40142825487,0
2022-01-14 07:45:00,1827.21,1827.71,1827.71,1827.21,1,1826.8131916990574,1826.60274698489,0
2022-01-14 08:00:00,1827.71,1827.21,1827.71,1827.21,-1,1826.892553359246,1826.6961705256763,0
2022-01-14 08:00:00,1827.21,1826.71,1827.21,1826.71,-1,1826.856042687397,1826.6982981371107,0
2022-01-14 08:15:00,1826.71,1827.21,1827.21,1826.71,1,1826.9268341499176,1826.7770215006321,0
2022-01-14 08:30:00,1827.21,1826.71,1827.21,1826.71,-1,1826.8834673199342,1826.766710500535,0
2022-01-14 08:45:00,1826.71,1827.21,1827.21,1826.71,1,1826.9487738559474,1826.8349088850682,0
2022-01-14 09:00:00,1827.21,1826.71,1827.21,1826.71,-1,1826.901019084758,1826.8156921335194,0
2022-01-14 09:15:00,1826.71,1826.21,1826.71,1826.21,-1,1826.7628152678064,1826.7225087283625,0
2022-01-14 09:30:00,1826.21,1826.71,1826.71,1826.21,1,1826.7522522142453,1826.7205843086144,0
2022-01-14 09:30:00,1826.71,1827.21,1827.21,1826.71,1,1826.8438017713963,1826.7958790303662,0
2022-01-14 09:30:00,1827.21,1827.71,1827.71,1827.21,1,1827.017041417117,1826.9365130256947,0
2022-01-14 09:45:00,1827.71,1827.21,1827.71,1827.21,-1,1827.0556331336938,1826.9785879448186,0
2022-01-14 09:45:00,1827.21,1826.71,1827.21,1826.71,-1,1826.9865065069553,1826.9372667225389,0
2022-01-14 10:00:00,1826.71,1827.21,1827.21,1826.71,1,1827.0312052055642,1826.9792256883022,0
2022-01-14 10:00:00,1827.21,1827.71,1827.71,1827.21,1,1827.1669641644517,1827.0916525054863,0
2022-01-14 10:00:00,1827.71,1828.21,1828.21,1827.71,1,1827.3755713315616,1827.2637059661806,0
2022-01-14 10:00:00,1828.21,1828.71,1828.71,1828.21,1,1827.6424570652493,1827.4862127406145,0
2022-01-14 10:15:00,1828.71,1828.21,1828.71,1828.21,-1,1827.7559656521996,1827.5975646266738,0
2022-01-14 10:15:00,1828.21,1827.71,1828.21,1827.71,-1,1827.7467725217598,1827.614862376416,0
2022-01-14 10:15:00,1827.71,1827.21,1827.71,1827.21,-1,1827.639418017408,1827.5525758569675,0
2022-01-14 10:15:00,1827.21,1826.71,1827.21,1826.71,-1,1827.4535344139265,1827.4229488020494,0
2022-01-14 10:30:00,1826.71,1826.21,1826.71,1826.21,-1,1827.2048275311413,1827.236341294042,-1
2022-01-14 10:45:00,1826.21,1825.71,1826.21,1825.71,-1,1826.9058620249132,1827.001519556497,0
2022-01-14 10:45:00,1825.71,1825.21,1825.71,1825.21,-1,1826.5666896199305,1826.7259011631897,0
2022-01-14 10:45:00,1825.21,1824.71,1825.21,1824.71,-1,1826.1953516959445,1826.415762522699,0
2022-01-14 11:00:00,1824.71,1824.21,1824.71,1824.21,-1,1825.7982813567558,1826.0764144422837,0
2022-01-14 11:00:00,1824.21,1823.71,1824.21,1823.71,-1,1825.3806250854047,1825.7123506819323,0
2022-01-14 11:00:00,1823.71,1823.21,1823.71,1823.21,-1,1824.946500068324,1825.3273736539427,0
2022-01-14 11:00:00,1823.21,1822.71,1823.21,1822.71,-1,1824.4992000546595,1824.9247007841054,0
2022-01-14 11:15:00,1822.71,1822.21,1822.71,1822.21,-1,1824.0413600437278,1824.5070545096278,0
