time,open,close,high,low,direction,ema_fast,ema_slow,signal
2022-01-02 18:02:00,1829.504,1830.504,1830.504,1829.504,1,1830.504,1830.504,0
2022-01-02 18:07:00,1830.504,1829.504,1830.504,1829.504,-1,1830.304,1830.3501538461537,-1
2022-01-02 18:08:00,1829.504,1830.504,1830.504,1829.504,1,1830.344,1830.373822485207,0
2022-01-02 18:09:00,1830.504,1831.504,1831.504,1830.504,1,1830.576,1830.5476959490213,1
2022-01-02 18:11:00,1831.504,1830.504,1831.504,1830.504,-1,1830.5616,1830.5409734953257,0
2022-01-02 18:22:00,1830.504,1829.504,1830.504,1829.504,-1,1830.3500800000002,1830.3814391114295,-1
2022-01-02 18:42:00,1829.504,1828.504,1829.504,1828.504,-1,1829.9808640000003,1830.0926023250559,0
2022-01-02 19:14:00,1828.504,1827.504,1828.504,1827.504,-1,1829.4854912000003,1829.694355813509,0
2022-01-02 19:29:00,1827.504,1828.504,1828.504,1827.504,1,1829.2891929600005,1829.5112241498923,0
2022-01-02 19:31:00,1828.504,1829.504,1829.504,1828.504,1,1829.3321543680004,1829.5101127422165,0
2022-01-02 19:31:00,1829.504,1830.504,1830.504,1829.504,1,1829.5665234944004,1829.6630184741832,0
2022-01-02 19:34:00,1830.504,1829.504,1830.504,1829.504,-1,1829.5540187955203,1829.6385540935396,0
2022-01-02 20:02:00,1829.504,1830.504,1830.504,1829.504,1,1829.7440150364162,1829.7716996176105,0
2022-01-02 20:34:00,1830.504,1829.504,1830.504,1829.504,-1,1829.6960120291328,1829.730515061055,0
2022-01-02 20:40:00,1829.504,1828.504,1829.504,1828.504,-1,1829.4576096233063,1829.5418204362772,0
2022-01-02 20:46:00,1828.504,1827.504,1828.504,1827.504,-1,1829.0668876986451,1829.228309599927,0
2022-01-02 20:51:00,1827.504,1828.504,1828.504,1827.504,1,1828.9543101589163,1829.1168773537843,0
2022-01-02 21:05:00,1828.504,1827.504,1828.504,1827.504,-1,1828.664248127133,1828.868742376279,0
2022-01-02 21:09:00,1827.504,1826.504,1827.504,1826.504,-1,1828.2321985017065,1828.5049358568515,0
2022-01-02 21:27:00,1826.504,1827.504,1827.504,1826.504,1,1828.0865588013653,1828.350945725028,0
2022-01-02 21:30:00,1827.504,1826.504,1827.504,1826.504,-1,1827.7700470410923,1828.0668002288699,0
2022-01-02 22:20:00,1826.504,1825.504,1826.504,1825.504,-1,1827.3168376328738,1827.6725232705821,0
2022-01-02 22:26:00,1825.504,1824.504,1825.504,1824.504,-1,1826.754270106299,1827.185058152031,0
2022-01-02 22:28:00,1824.504,1825.504,1825.504,1824.504,1,1826.5042160850392,1826.9264338209493,0
2022-01-02 22:35:00,1825.504,1824.504,1825.504,1824.504,-1,1826.1041728680316,1826.5537516946495,0
2022-01-02 22:58:00,1824.504,1825.504,1825.504,1824.504,1,1825.9841382944253,1826.3922514339342,0
2022-01-02 23:54:00,1825.504,1824.504,1825.504,1824.504,-1,1825.6881106355404,1826.101751213329,0
2022-01-03 00:48:00,1824.504,1825.504,1825.504,1824.504,1,1825.6512885084323,1826.0097894882015,0
2022-01-03 01:16:00,1825.504,1824.504,1825.504,1824.504,-1,1825.4218308067461,1825.7781295669397,0
2022-01-03 02:02:00,1824.504,1823.504,1824.504,1823.504,-1,1825.038264645397,1825.4282634797182,0
2022-01-03 02:06:00,1823.504,1822.504,1823.504,1822.504,-1,1824.5314117163177,1824.9783767905308,0
2022-01-03 02:12:00,1822.504,1821.504,1822.504,1821.504,-1,1823.9259293730543,1824.443857284295,0
2022-01-03 02:14:00,1821.504,1822.504,1822.504,1821.504,1,1823.6415434984435,1824.1454177020958,0
2022-01-03 02:21:00,1822.504,1823.504,1823.504,1822.504,1,1823.614034798755,1824.0467380556195,0
2022-01-03 02:25:00,1823.504,1822.504,1823.504,1822.504,-1,1823.3920278390042,1823.8093937393703,0
2022-01-03 02:57:00,1822.504,1823.504,1823.504,1822.504,1,1823.4144222712034,1823.7624100871594,0
2022-01-03 03:20:00,1823.504,1822.504,1823.504,1822.504,-1,1823.2323378169629,1823.5688085352886,0
2022-01-03 03:32:00,1822.504,1821.504,1822.504,1821.504,-1,1822.8866702535704,1823.2511456837055,0
2022-01-03 03:47:00,1821.504,1822.504,1822.504,1821.504,1,1822.8101362028565,1823.1362001939046,0
2022-01-03 04:05:00,1822.504,1823.504,1823.504,1822.504,1,1822.9489089622853,1823.1927847794577,0
2022-01-03 04:12:00,1823.504,1824.504,1824.504,1823.504,1,1823.2599271698282,1823.3945101980028,0
2022-01-03 04:49:00,1824.504,1825.504,1825.504,1824.504,1,1823.7087417358625,1823.7190470906178,0
2022-01-03 04:54:00,1825.504,1826.504,1826.504,1825.504,1,1824.26779338869,1824.147501384369,1
2022-01-03 05:40:00,1826.504,1825.504,1826.504,1825.504,-1,1824.515034710952,1824.3561934790814,0
2022-01-03 05:58:00,1825.504,1826.504,1826.504,1825.504,1,1824.9128277687616,1824.6866252515306,0
2022-01-03 06:22:00,1826.504,1825.504,1826.504,1825.504,-1,1825.0310622150093,1824.8123752128336,0
2022-01-03 06:26:00,1825.504,1824.504,1825.504,1824.504,-1,1824.9256497720075,1824.7649328723976,0
2022-01-03 06:45:00,1824.504,1823.504,1824.504,1823.504,-1,1824.6413198176062,1824.570943199721,0
2022-01-03 06:51:00,1823.504,1822.504,1823.504,1822.504,-1,1824.213855854085,1824.2529519382254,-1
2022-01-03 07:34:00,1822.504,1821.504,1822.504,1821.504,-1,1823.6718846832682,1823.8300362554214,0
2022-01-03 08:02:00,1821.504,1820.504,1821.504,1820.504,-1,1823.0383077466147,1823.318338369972,0
2022-01-03 08:02:00,1820.504,1819.504,1820.504,1819.504,-1,1822.3314461972918,1822.731517082284,0
2022-01-03 08:05:00,1819.504,1820.504,1820.504,1819.504,1,1821.9659569578334,1822.3888221465481,0
2022-01-03 08:06:00,1820.504,1819.504,1820.504,1819.504,-1,1821.4735655662666,1821.9450033547716,0
2022-01-03 08:07:00,1819.504,1818.504,1819.504,1818.504,-1,1820.8796524530135,1821.4156182232682,0
2022-01-03 08:09:00,1818.504,1817.504,1818.504,1817.504,-1,1820.2045219624108,1820.8138308043037,0
2022-01-03 08:10:00,1817.504,1816.504,1817.504,1816.504,-1,1819.4644175699286,1820.1507799113338,0
2022-01-03 08:11:00,1816.504,1815.504,1816.504,1815.504,-1,1818.6723340559429,1819.4358906942057,0
2022-01-03 08:11:00,1815.504,1814.504,1815.504,1814.504,-1,1817.8386672447546,1818.6771382797124,0
2022-01-03 08:11:00,1814.504,1813.504,1814.504,1813.504,-1,1816.9717337958039,1817.8812708520643,0
2022-01-03 08:12:00,1813.504,1814.504,1814.504,1813.504,1,1816.4781870366432,1817.3616907209775,0
2022-01-03 08:18:00,1814.504,1813.504,1814.504,1813.504,-1,1815.8833496293148,1816.7681998408273,0
2022-01-03 08:21:00,1813.504,1814.504,1814.504,1813.504,1,1815.607479703452,1816.4198614037768,0
2022-01-03 08:24:00,1814.504,1813.504,1814.504,1813.504,-1,1815.186783762762,1815.9712673416575,0
2022-01-03 08:25:00,1813.504,1812.504,1813.504,1812.504,-1,1814.6502270102096,1815.4378415967872,0
2022-01-03 08:25:00,1812.504,1811.504,1812.504,1811.504,-1,1814.0209816081679,1814.8326351972814,0
2022-01-03 08:29:00,1811.504,1812.504,1812.504,1811.504,1,1813.7175852865344,1814.474383628469,0
2022-01-03 08:31:00,1812.504,1811.504,1812.504,1811.504,-1,1813.2748682292276,1814.0174015317814,0
2022-01-03 08:33:00,1811.504,1810.504,1811.504,1810.504,-1,1812.720694583382,1813.4768782191995,0
2022-01-03 08:33:00,1810.504,1809.504,1810.504,1809.504,-1,1812.077355666706,1812.8656661854764,0
2022-01-03 08:33:00,1809.504,1808.504,1809.504,1808.504,-1,1811.362684533365,1812.1946406184802,0
2022-01-03 08:34:00,1808.504,1809.504,1809.504,1808.504,1,1810.990947626692,1811.7806959079446,0
2022-01-03 08:34:00,1809.504,1810.504,1810.504,1809.504,1,1810.8935581013536,1811.5842811528762,0
2022-01-03 08:35:00,1810.504,1809.504,1810.504,1809.504,-1,1810.6156464810829,1811.2642378985875,0
2022-01-03 08:37:00,1809.504,1808.504,1809.504,1808.504,-1,1810.1933171848664,1810.8395859141892,0
2022-01-03 08:37:00,1808.504,1807.504,1808.504,1807.504,-1,1809.6554537478933,1810.3264188504677,0
2022-01-03 08:38:00,1807.504,1808.504,1808.504,1807.504,1,1809.4251629983148,1810.0460467196267,0
2022-01-03 08:38:00,1808.504,1809.504,1809.504,1808.504,1,1809.4409303986517,1809.962654916607,0
2022-01-03 08:43:00,1809.504,1808.504,1809.504,1808.504,-1,1809.2535443189215,1809.7382464678985,0
2022-01-03 08:47:00,1808.504,1807.504,1808.504,1807.504,-1,1808.9036354551374,1809.3945162420678,0
2022-01-03 08:47:00,1807.504,1806.504,1807.504,1806.504,-1,1808.42370836411,1808.9498214355958,0
2022-01-03 08:54:00,1806.504,1807.504,1807.504,1806.504,1,1808.2397666912882,1808.7273873685808,0
2022-01-03 08:56:00,1807.504,1808.504,1808.504,1807.504,1,1808.2926133530307,1808.6930200811066,0
2022-01-03 08:58:00,1808.504,1807.504,1808.504,1807.504,-1,1808.1348906824246,1808.5100939147824,0
2022-01-03 08:59:00,1807.504,1806.504,1807.504,1806.504,-1,1807.8087125459397,1808.201464081739,0
2022-01-03 09:01:00,1806.504,1807.504,1807.504,1806.504,1,1807.747770036752,1808.0941619153177,0
2022-01-03 09:02:00,1807.504,1808.504,1808.504,1807.504,1,1807.8990160294018,1808.1572139283458,0
2022-01-03 09:08:00,1808.504,1809.504,1809.504,1808.504,1,1808.2200128235213,1808.3644117855233,0
2022-01-03 09:11:00,1809.504,1810.504,1810.504,1809.504,1,1808.676810258817,1808.693579203135,0
2022-01-03 09:12:00,1810.504,1809.504,1810.504,1809.504,-1,1808.8422482070537,1808.8182593257295,1
2022-01-03 09:13:00,1809.504,1808.504,1809.504,1808.504,-1,1808.7745985656431,1808.7699117371558,0
2022-01-03 09:16:00,1808.504,1809.504,1809.504,1808.504,1,1808.9204788525144,1808.8828483929778,0
2022-01-03 09:18:00,1809.504,1808.504,1809.504,1808.504,-1,1808.8371830820117,1808.8245640248274,0
2022-01-03 09:20:00,1808.504,1807.504,1808.504,1807.504,-1,1808.5705464656096,1808.6214003287,-1
2022-01-03 09:21:00,1807.504,1808.504,1808.504,1807.504,1,1808.557237172488,1808.6033387396692,0
2022-01-03 09:28:00,1808.504,1807.504,1808.504,1807.504,-1,1808.3465897379904,1808.434209702797,0
2022-01-03 09:32:00,1807.504,1806.504,1807.504,1806.504,-1,1807.9780717903923,1808.1372543639052,0
2022-01-03 09:33:00,1806.504,1805.504,1806.504,1805.504,-1,1807.4832574323138,1807.7321383079197,0
2022-01-03 09:33:00,1805.504,1804.504,1805.504,1804.504,-1,1806.8874059458512,1807.235501645163,0
2022-01-03 09:34:00,1804.504,1805.504,1805.504,1804.504,1,1806.610724756681,1806.9691167766764,0
2022-01-03 09:35:00,1805.504,1806.504,1806.504,1805.504,1,1806.5893798053448,1806.8975603494955,0
2022-01-03 09:37:00,1806.504,1807.504,1807.504,1806.504,1,1806.772303844276,1806.9908587572654,0
2022-01-03 09:39:00,1807.504,1808.504,1808.504,1807.504,1,1807.118643075421,1807.223649717686,0
2022-01-03 09:41:00,1808.504,1807.504,1808.504,1807.504,-1,1807.1957144603368,1807.2667805303495,0
2022-01-03 09:43:00,1807.504,1806.504,1807.504,1806.504,-1,1807.0573715682694,1807.1494296795265,0
2022-01-03 09:45:00,1806.504,1807.504,1807.504,1806.504,1,1807.1466972546157,1807.2039789595992,0
2022-01-03 09:47:00,1807.504,1808.504,1808.504,1807.504,1,1807.4181578036928,1807.403982196584,1
2022-01-03 09:50:00,1808.504,1807.504,1808.504,1807.504,-1,1807.4353262429543,1807.4193695509557,0
2022-01-03 09:51:00,1807.504,1806.504,1807.504,1806.504,-1,1807.2490609943634,1807.2785434661932,-1
2022-01-03 09:55:00,1806.504,1805.504,1806.504,1805.504,-1,1806.9000487954906,1807.0055367790867,0
2022-01-03 09:57:00,1805.504,1804.504,1805.504,1804.504,-1,1806.4208390363924,1806.6206849669195,0
2022-01-03 09:57:00,1804.504,1803.504,1804.504,1803.504,-1,1805.837471229114,1806.1411949720086,0
2022-01-03 10:01:00,1803.504,1804.504,1804.504,1803.504,1,1805.5707769832911,1805.8893188224688,0
2022-01-03 10:02:00,1804.504,1803.504,1804.504,1803.504,-1,1805.157421586633,1805.522346695935,0
2022-01-03 10:04:00,1803.504,1802.504,1803.504,1802.504,-1,1804.6267372693067,1805.0579856657914,0
2022-01-03 10:06:00,1802.504,1801.504,1802.504,1801.504,-1,1804.0021898154455,1804.5112186402848,0
2022-01-03 10:10:00,1801.504,1800.504,1801.504,1800.504,-1,1803.3025518523564,1803.8947234648565,0
2022-01-03 10:11:00,1800.504,1801.504,1801.504,1800.504,1,1802.9428414818851,1803.5269198548785,0
2022-01-03 10:12:00,1801.504,1800.504,1801.504,1800.504,-1,1802.4550731855081,1803.0618552618203,0
2022-01-03 10:17:00,1800.504,1801.504,1801.504,1800.504,1,1802.2648585484067,1802.8221852215402,0
2022-01-03 10:19:00,1801.504,1802.504,1802.504,1801.504,1,1802.3126868387255,1802.7732336489958,0
2022-01-03 10:20:00,1802.504,1803.504,1803.504,1802.504,1,1802.5509494709806,1802.885659241458,0
2022-01-03 10:20:00,1803.504,1804.504,1804.504,1803.504,1,1802.9415595767846,1803.134634742772,0
2022-01-03 10:22:00,1804.504,1805.504,1805.504,1804.504,1,1803.4540476614277,1803.4991524746533,0
2022-01-03 10:22:00,1805.504,1806.504,1806.504,1805.504,1,1804.0640381291423,1803.961436709322,1
2022-01-03 10:23:00,1806.504,1805.504,1806.504,1805.504,-1,1804.352030503314,1804.198754138657,0
2022-01-03 10:27:00,1805.504,1804.504,1805.504,1804.504,-1,1804.3824244026514,1804.245715040402,0
2022-01-03 10:30:00,1804.504,1803.504,1804.504,1803.504,-1,1804.2067395221213,1804.1316050341864,0
2022-01-03 10:32:00,1803.504,1804.504,1804.504,1803.504,1,1804.2661916176971,1804.1888965673884,0
2022-01-03 10:33:00,1804.504,1803.504,1804.504,1803.504,-1,1804.113753294158,1804.0835278647132,0
2022-01-03 10:34:00,1803.504,1802.504,1803.504,1802.504,-1,1803.7918026353266,1803.8405235778341,-1
2022-01-03 10:36:00,1802.504,1801.504,1802.504,1801.504,-1,1803.3342421082614,1803.4810584120137,0
2022-01-03 10:38:00,1801.504,1802.504,1802.504,1801.504,1,1803.1681936866091,1803.3307417332426,0
2022-01-03 11:00:00,1802.504,1801.504,1802.504,1801.504,-1,1802.8353549492874,1803.0497045435131,0
2022-01-03 11:06:00,1801.504,1800.504,1801.504,1800.504,-1,1802.3690839594299,1802.658057690665,0
2022-01-03 11:07:00,1800.504,1799.504,1800.504,1799.504,-1,1801.7960671675442,1802.1728180459472,0
2022-01-03 11:08:00,1799.504,1800.504,1800.504,1799.504,1,1801.5376537340353,1801.9160768081092,0
2022-01-03 11:09:00,1800.504,1799.504,1800.504,1799.504,-1,1801.1309229872281,1801.5449880684,0
2022-01-03 11:10:00,1799.504,1798.504,1799.504,1798.504,-1,1800.6055383897826,1801.0771437501846,0
2022-01-03 11:11:00,1798.504,1799.504,1799.504,1798.504,1,1800.3852307118264,1800.8351216347717,0
2022-01-03 11:13:00,1799.504,1800.504,1800.504,1799.504,1,1800.4089845694612,1800.7841798448069,0
2022-01-03 11:25:00,1800.504,1799.504,1800.504,1799.504,-1,1800.227987655569,1800.587229099452,0
2022-01-03 11:56:00,1799.504,1800.504,1800.504,1799.504,1,1800.2831901244551,1800.5744246226134,0
2022-01-03 12:04:00,1800.504,1799.504,1800.504,1799.504,-1,1800.1273520995642,1800.409743911442,0
2022-01-03 13:30:00,1799.504,1800.504,1800.504,1799.504,1,1800.2026816796513,1800.4242448481434,0
2022-01-03 13:42:00,1800.504,1801.504,1801.504,1800.504,1,1800.462945343721,1800.5903610253522,0
2022-01-03 14:01:00,1801.504,1802.504,1802.504,1801.504,1,1800.871156274977,1800.8847670214518,0
2022-01-03 14:04:00,1802.504,1801.504,1802.504,1801.504,-1,1800.9977250199818,1800.980033633536,1
2022-01-03 14:36:00,1801.504,1802.504,1802.504,1801.504,1,1801.2989800159855,1801.2144899976074,0
2022-01-03 15:00:00,1802.504,1801.504,1802.504,1801.504,-1,1801.3399840127886,1801.2590299979756,0
2022-01-03 15:32:00,1801.504,1802.504,1802.504,1801.504,1,1801.572787210231,1801.4505638444411,0
2022-01-03 15:36:00,1802.504,1803.504,1803.504,1802.504,1,1801.9590297681848,1801.7664770991425,0
2022-01-03 15:58:00,1803.504,1802.504,1803.504,1802.504,-1,1802.068023814548,1801.8799421608128,0
2022-01-03 16:00:00,1802.504,1801.504,1802.504,1801.504,-1,1801.9552190516386,1801.8221049053031,0
2022-01-03 18:00:00,1801.504,1800.504,1801.504,1800.504,-1,1801.664975241311,1801.6193195352566,0
2022-01-03 18:01:00,1800.504,1801.504,1801.504,1800.504,1,1801.6327801930488,1801.6015780682942,0
2022-01-03 18:01:00,1801.504,1802.504,1802.504,1801.504,1,1801.8070241544392,1801.7404122116336,0
2022-01-03 18:33:00,1802.504,1803.504,1803.504,1802.504,1,1802.1464193235515,1802.0117334098438,0
2022-01-03 19:02:00,1803.504,1804.504,1804.504,1803.504,1,1802.6179354588412,1802.3951590390986,0
2022-01-03 19:16:00,1804.504,1803.504,1804.504,1803.504,-1,1802.7951483670731,1802.5657499561603,0
2022-01-03 19:42:00,1803.504,1804.504,1804.504,1803.504,1,1803.1369186936586,1802.8639422705971,0
2022-01-03 20:01:00,1804.504,1805.504,1805.504,1804.504,1,1803.6103349549269,1803.2701049981977,0
2022-01-03 20:02:00,1805.504,1806.504,1806.504,1805.504,1,1804.1890679639416,1803.7676273061672,0
2022-01-03 20:05:00,1806.504,1805.504,1806.504,1805.504,-1,1804.4520543711533,1804.034761566757,0
2022-01-03 20:15:00,1805.504,1804.504,1805.504,1804.504,-1,1804.4624434969228,1804.1069520949482,0
2022-01-03 20:21:00,1804.504,1803.504,1804.504,1803.504,-1,1804.2707547975383,1804.0141902341868,0
2022-01-03 20:46:00,1803.504,1804.504,1804.504,1803.504,1,1804.3174038380307,1804.0895455827733,0
2022-01-03 21:00:00,1804.504,1805.504,1805.504,1804.504,1,1804.5547230704246,1804.3071539546543,0
2022-01-03 21:25:00,1805.504,1806.504,1806.504,1805.504,1,1804.9445784563397,1804.6451302693229,0
2022-01-03 21:40:00,1806.504,1805.504,1806.504,1805.504,-1,1805.0564627650717,1804.7772640740425,0
2022-01-03 22:05:00,1805.504,1804.504,1805.504,1804.504,-1,1804.9459702120575,1804.7352234472667,0
2022-01-03 23:16:00,1804.504,1803.504,1804.504,1803.504,-1,1804.6575761696463,1804.5458044553793,0
2022-01-04 00:30:00,1803.504,1804.504,1804.504,1803.504,1,1804.626860935717,1804.5393730007056,0
2022-01-04 01:07:00,1804.504,1805.504,1805.504,1804.504,1,1804.8022887485738,1804.6877771544432,0
2022-01-04 01:21:00,1805.504,1804.504,1805.504,1804.504,-1,1804.742630998859,1804.6595037460672,0
2022-01-04 01:53:00,1804.504,1803.504,1804.504,1803.504,-1,1804.4949047990874,1804.48173393898,0
2022-01-04 02:02:00,1803.504,1804.504,1804.504,1803.504,1,1804.49672383927,1804.4851594868292,0
2022-01-04 02:03:00,1804.504,1803.504,1804.504,1803.504,-1,1804.2981790714161,1804.3342118734708,-1
2022-01-04 02:11:00,1803.504,1804.504,1804.504,1803.504,1,1804.339343257133,1804.3603331237061,0
2022-01-04 02:14:00,1804.504,1803.504,1804.504,1803.504,-1,1804.1722746057064,1804.2285895662128,0
2022-01-04 02:20:00,1803.504,1804.504,1804.504,1803.504,1,1804.238619684565,1804.27096040218,0
2022-01-04 02:24:00,1804.504,1805.504,1805.504,1804.504,1,1804.491695747652,1804.4606588018446,1
2022-01-04 02:31:00,1805.504,1806.504,1806.504,1805.504,1,1804.8941565981218,1804.7750189861763,0
2022-01-04 02:44:00,1806.504,1805.504,1806.504,1805.504,-1,1805.0161252784974,1804.88716991138,0
2022-01-04 03:05:00,1805.504,1804.504,1805.504,1804.504,-1,1804.913700222798,1804.8282206942445,0
2022-01-04 03:11:00,1804.504,1805.504,1805.504,1804.504,1,1805.0317601782385,1804.9321867412839,0
2022-01-04 03:16:00,1805.504,1804.504,1805.504,1804.504,-1,1804.926208142591,1804.8663118580093,0
2022-01-04 03:18:00,1804.504,1805.504,1805.504,1804.504,1,1805.0417665140728,1804.964417726008,0
2022-01-04 03:19:00,1805.504,1804.504,1805.504,1804.504,-1,1804.9342132112583,1804.893584229699,0
2022-01-04 03:22:00,1804.504,1805.504,1805.504,1804.504,1,1805.0481705690067,1804.9874943482068,0
2022-01-04 03:28:00,1805.504,1806.504,1806.504,1805.504,1,1805.3393364552055,1805.2208029100211,0
2022-01-04 03:34:00,1806.504,1805.504,1806.504,1805.504,-1,1805.3722691641644,1805.2643716930947,0
2022-01-04 03:45:00,1805.504,1804.504,1805.504,1804.504,-1,1805.1986153313314,1805.1473914326186,0
2022-01-04 03:50:00,1804.504,1803.504,1804.504,1803.504,-1,1804.8596922650654,1804.8945619814465,-1
2022-01-04 04:02:00,1803.504,1802.504,1803.504,1802.504,-1,1804.3885538120524,1804.5267832150703,0
2022-01-04 04:11:00,1802.504,1803.504,1803.504,1802.504,1,1804.2116430496421,1804.3694319512133,0
2022-01-04 04:21:00,1803.504,1804.504,1804.504,1803.504,1,1804.2701144397138,1804.3901347279498,0
2022-01-04 04:25:00,1804.504,1805.504,1805.504,1804.504,1,1804.516891551771,1804.5614986159576,0
2022-01-04 04:32:00,1805.504,1806.504,1806.504,1805.504,1,1804.914313241417,1804.8603449827333,1
2022-01-04 04:45:00,1806.504,1805.504,1806.504,1805.504,-1,1805.0322505931335,1804.9593688315435,0
2022-01-04 05:16:00,1805.504,1806.504,1806.504,1805.504,1,1805.326600474507,1805.1970043959216,0
2022-01-04 05:31:00,1806.504,1807.504,1807.504,1806.504,1,1805.7620803796055,1805.5519267965492,0
2022-01-04 05:37:00,1807.504,1806.504,1807.504,1806.504,-1,1805.9104643036844,1805.6983995970802,0
2022-01-04 05:57:00,1806.504,1805.504,1806.504,1805.504,-1,1805.8291714429477,1805.6684919667603,0
2022-01-04 06:10:00,1805.504,1804.504,1805.504,1804.504,-1,1805.5641371543584,1805.4893393564894,0
2022-01-04 06:25:00,1804.504,1803.504,1804.504,1803.504,-1,1805.1521097234868,1805.183902532414,-1
2022-01-04 06:26:00,1803.504,1802.504,1803.504,1802.504,-1,1804.6224877787895,1804.7716098351198,0
2022-01-04 06:42:00,1802.504,1803.504,1803.504,1802.504,1,1804.3987902230317,1804.576592937409,0
2022-01-04 07:01:00,1803.504,1804.504,1804.504,1803.504,1,1804.4198321784256,1804.5654247931923,0
2022-01-04 07:07:00,1804.504,1803.504,1804.504,1803.504,-1,1804.2366657427406,1804.4021286711627,0
2022-01-04 07:10:00,1803.504,1802.504,1803.504,1802.504,-1,1803.8901325941927,1804.110108875599,0
2022-01-04 07:15:00,1802.504,1801.504,1802.504,1801.504,-1,1803.4129060753542,1803.7091690485836,0
2022-01-04 07:21:00,1801.504,1800.504,1801.504,1800.504,-1,1802.8311248602834,1803.2160661180324,0
2022-01-04 07:23:00,1800.504,1799.504,1800.504,1799.504,-1,1802.1656998882268,1802.6449790229506,0
2022-01-04 07:29:00,1799.504,1798.504,1799.504,1798.504,-1,1801.4333599105817,1802.007905327112,0
2022-01-04 07:30:00,1798.504,1799.504,1799.504,1798.504,1,1801.0474879284652,1801.622689122941,0
2022-01-04 07:30:00,1799.504,1800.504,1800.504,1799.504,1,1800.938790342772,1801.4505831040271,0
2022-01-04 07:34:00,1800.504,1801.504,1801.504,1800.504,1,1801.0518322742178,1801.458801088023,0
2022-01-04 07:36:00,1801.504,1800.504,1801.504,1800.504,-1,1800.9422658193741,1801.3119086129425,0
2022-01-04 07:55:00,1800.504,1799.504,1800.504,1799.504,-1,1800.6546126554995,1801.033768826336,0
2022-01-04 07:56:00,1799.504,1800.504,1800.504,1799.504,1,1800.6244901243997,1800.9522659299766,0
2022-01-04 07:58:00,1800.504,1801.504,1801.504,1800.504,1,1800.8003920995197,1801.0371480945955,0
2022-01-04 08:00:00,1801.504,1800.504,1801.504,1800.504,-1,1800.7411136796159,1800.9551253108116,0
2022-01-04 08:03:00,1800.504,1801.504,1801.504,1800.504,1,1800.8936909436927,1801.0395675706868,0
2022-01-04 08:12:00,1801.504,1800.504,1801.504,1800.504,-1,1800.8157527549542,1800.957172559812,0
2022-01-04 08:14:00,1800.504,1801.504,1801.504,1800.504,1,1800.9534022039634,1801.0412998583024,0
2022-01-04 08:14:00,1801.504,1802.504,1802.504,1801.504,1,1801.2635217631707,1801.2663306493328,0
2022-01-04 08:24:00,1802.504,1803.504,1803.504,1802.504,1,1801.7116174105367,1801.6105874725122,1
2022-01-04 08:39:00,1803.504,1804.504,1804.504,1803.504,1,1802.2700939284296,1802.0557278613564,0
2022-01-04 08:52:00,1804.504,1805.504,1805.504,1804.504,1,1802.9168751427437,1802.5862312673016,0
2022-01-04 08:59:00,1805.504,1806.504,1806.504,1805.504,1,1803.634300114195,1803.1889649184861,0
2022-01-04 09:00:00,1806.504,1807.504,1807.504,1806.504,1,1804.408240091356,1803.852816469488,0
2022-01-04 09:00:00,1807.504,1808.504,1808.504,1807.504,1,1805.227392073085,1804.56838316649,0
2022-01-04 09:02:00,1808.504,1807.504,1808.504,1807.504,-1,1805.6827136584682,1805.0200165254914,0
2022-01-04 09:06:00,1807.504,1806.504,1807.504,1806.504,-1,1805.8469709267747,1805.2483216754158,0
2022-01-04 09:10:00,1806.504,1807.504,1807.504,1806.504,1,1806.17837674142,1805.5953491099672,0
2022-01-04 09:11:00,1807.504,1808.504,1808.504,1807.504,1,1806.6435013931361,1806.04283386228,0
2022-01-04 09:11:00,1808.504,1809.504,1809.504,1808.504,1,1807.215601114509,1806.5753209603909,0
2022-01-04 09:13:00,1809.504,1808.504,1809.504,1808.504,-1,1807.4732808916074,1806.8720408126383,0
2022-01-04 09:15:00,1808.504,1807.504,1808.504,1807.504,-1,1807.479424713286,1806.9692653030015,0
2022-01-04 09:20:00,1807.504,1808.504,1808.504,1807.504,1,1807.684339770629,1807.205378333309,0
2022-01-04 09:24:00,1808.504,1809.504,1809.504,1808.504,1,1808.0482718165035,1807.5590124358769,0
2022-01-04 09:28:00,1809.504,1808.504,1809.504,1808.504,-1,1808.139417453203,1807.7043951380497,0
