time,open,high,low,close
2022-01-02 18:00:00,1828.604,1830.604,1828.544,1830.534
2022-01-02 18:03:00,1830.534,1830.704,1829.584,1829.744
2022-01-02 18:06:00,1829.744,1830.968,1829.398,1830.968
2022-01-02 18:09:00,1830.968,1831.624,1830.434,1830.894
2022-01-02 18:12:00,1830.874,1831.164,1830.414,1830.414
2022-01-02 18:15:00,1830.454,1830.674,1830.094,1830.144
2022-01-02 18:18:00,1830.184,1830.234,1829.628,1829.638
2022-01-02 18:21:00,1829.628,1829.848,1829.118,1829.158
2022-01-02 18:24:00,1829.178,1829.368,1828.948,1829.138
2022-01-02 18:27:00,1829.118,1829.278,1828.918,1829.238
2022-01-02 18:30:00,1829.238,1829.238,1828.759,1828.779
2022-01-02 18:33:00,1828.848,1829.054,1828.654,1829.054
2022-01-02 18:36:00,1829.054,1829.339,1828.954,1828.954
2022-01-02 18:39:00,1828.954,1829.058,1828.538,1828.658
2022-01-02 18:42:00,1828.758,1828.758,1828.348,1828.354
2022-01-02 18:45:00,1828.348,1828.348,1828.058,1828.128
2022-01-02 18:48:00,1828.178,1828.178,1827.898,1828.158
2022-01-02 18:51:00,1828.158,1828.328,1828.108,1828.278
2022-01-02 18:54:00,1828.298,1828.388,1828.138,1828.294
2022-01-02 18:57:00,1828.244,1828.364,1828.234,1828.354
2022-01-02 19:00:00,1828.294,1828.328,1827.968,1828.088
2022-01-02 19:03:00,1828.128,1828.138,1827.938,1827.968
2022-01-02 19:06:00,1827.968,1828.038,1827.648,1827.728
2022-01-02 19:09:00,1827.738,1828.108,1827.638,1828.024
2022-01-02 19:12:00,1828.078,1828.108,1827.344,1827.368
2022-01-02 19:15:00,1827.368,1827.854,1827.244,1827.264
2022-01-02 19:18:00,1827.264,1827.608,1827.228,1827.258
2022-01-02 19:21:00,1827.308,1827.538,1826.888,1827.538
2022-01-02 19:24:00,1827.688,1827.988,1827.528,1827.628
2022-01-02 19:27:00,1827.628,1828.968,1827.628,1828.878
2022-01-02 19:30:00,1828.878,1830.858,1828.318,1830.428
2022-01-02 19:33:00,1830.348,1830.348,1829.078,1829.184
2022-01-02 19:36:00,1829.184,1829.938,1829.084,1829.888
2022-01-02 19:39:00,1829.884,1830.014,1829.078,1829.108
2022-01-02 19:42:00,1829.128,1829.548,1829.078,1829.358
2022-01-02 19:45:00,1829.358,1829.748,1829.208,1829.748
2022-01-02 19:48:00,1829.738,1829.748,1829.468,1829.468
2022-01-02 19:51:00,1829.448,1829.758,1829.248,1829.554
2022-01-02 19:54:00,1829.559,1830.154,1829.438,1830.098
2022-01-02 19:57:00,1830.084,1830.434,1829.914,1830.158
2022-01-02 20:00:00,1830.128,1830.508,1829.498,1830.438
2022-01-02 20:03:00,1830.428,1830.954,1830.124,1830.214
2022-01-02 20:06:00,1830.304,1830.984,1830.304,1830.904
2022-01-02 20:09:00,1830.894,1831.044,1830.709,1830.859
2022-01-02 20:12:00,1830.899,1831.044,1830.758,1830.759
2022-01-02 20:15:00,1830.779,1831.029,1830.679,1830.889
2022-01-02 20:18:00,1830.889,1831.164,1830.809,1831.128
2022-01-02 20:21:00,1831.144,1831.294,1830.928,1831.108
2022-01-02 20:24:00,1831.114,1831.334,1831.108,1831.334
2022-01-02 20:27:00,1831.344,1831.458,1831.008,1831.034
2022-01-02 20:30:00,1831.014,1831.014,1829.758,1829.804
2022-01-02 20:33:00,1829.808,1830.014,1829.208,1829.618
2022-01-02 20:36:00,1829.664,1829.708,1828.838,1828.858
2022-01-02 20:39:00,1828.918,1829.068,1828.218,1828.878
2022-01-02 20:42:00,1828.858,1829.338,1827.768,1828.094
2022-01-02 20:45:00,1828.064,1828.174,1827.494,1827.758
2022-01-02 20:48:00,1827.758,1828.408,1827.674,1828.348
2022-01-02 20:51:00,1828.338,1828.678,1828.238,1828.508
2022-01-02 20:54:00,1828.478,1828.898,1828.388,1828.808
2022-01-02 20:57:00,1828.798,1828.908,1828.588,1828.728
2022-01-02 21:00:00,1828.728,1828.798,1827.958,1828.308
2022-01-02 21:03:00,1828.288,1828.348,1827.278,1827.358
2022-01-02 21:06:00,1827.358,1827.628,1826.635,1826.698
2022-01-02 21:09:00,1826.698,1827.218,1826.498,1826.878
2022-01-02 21:12:00,1826.878,1827.248,1826.788,1826.888
2022-01-02 21:15:00,1826.888,1826.918,1826.538,1826.818
2022-01-02 21:18:00,1826.828,1827.098,1826.828,1826.868
2022-01-02 21:21:00,1826.868,1826.968,1826.698,1826.938
2022-01-02 21:24:00,1826.938,1827.068,1826.848,1827.058
2022-01-02 21:27:00,1827.058,1827.588,1827.058,1827.558
2022-01-02 21:30:00,1827.578,1827.578,1825.588,1826.428
2022-01-02 21:33:00,1826.418,1826.448,1826.058,1826.298
2022-01-02 21:36:00,1826.328,1826.958,1826.238,1826.438
2022-01-02 21:39:00,1826.398,1826.438,1825.928,1825.928
2022-01-02 21:42:00,1825.958,1826.738,1825.938,1826.648
2022-01-02 21:45:00,1826.638,1826.828,1826.538,1826.688
2022-01-02 21:48:00,1826.718,1826.818,1826.408,1826.418
2022-01-02 21:51:00,1826.448,1826.448,1826.038,1826.278
2022-01-02 21:54:00,1826.248,1826.248,1825.918,1826.148
2022-01-02 21:57:00,1826.148,1826.168,1825.978,1826.088
2022-01-02 22:00:00,1826.088,1826.194,1825.668,1825.718
2022-01-02 22:03:00,1825.718,1825.758,1825.598,1825.728
2022-01-02 22:06:00,1825.738,1826.438,1825.708,1826.408
2022-01-02 22:09:00,1826.408,1826.668,1826.328,1826.588
2022-01-02 22:12:00,1826.558,1826.768,1826.438,1826.458
2022-01-02 22:15:00,1826.438,1826.438,1825.768,1825.768
2022-01-02 22:18:00,1825.808,1825.828,1825.098,1825.218
2022-01-02 22:21:00,1825.218,1825.538,1824.848,1825.068
2022-01-02 22:24:00,1825.069,1825.458,1824.438,1824.508
2022-01-02 22:27:00,1824.478,1825.548,1824.478,1825.208
2022-01-02 22:30:00,1825.238,1825.238,1824.848,1825.048
2022-01-02 22:33:00,1825.048,1825.078,1824.068,1824.348
2022-01-02 22:36:00,1824.348,1824.668,1824.268,1824.638
2022-01-02 22:39:00,1824.638,1824.788,1824.418,1824.708
