time,open,close,high,low,direction,ema_fast,ema_slow,signal,ema_trend,dist
2022-01-02 18:00:00,1829.504,1829.004,1829.504,1829.004,-1,1829.004,1829.004,0,1829.004,0.0
2022-01-02 18:01:00,1829.004,1829.504,1829.504,1829.004,1,1829.1039999999998,1829.080923076923,1,1829.0089751243781,0.4230769230769056
2022-01-02 18:01:00,1829.504,1830.004,1830.004,1829.504,1,1829.2839999999999,1829.2229349112424,0,1829.0188758694092,0.7810650887574866
2022-01-02 18:02:00,1830.004,1830.504,1830.504,1830.004,1,1829.528,1829.4200218479743,0,1829.0336532239426,1.0839781520255656
2022-01-02 18:05:00,1830.504,1830.004,1830.504,1830.004,-1,1829.6232000000002,1829.5098646405936,0,1829.0433084157441,0.49413535940630027
2022-01-02 18:07:00,1830.004,1829.504,1830.004,1829.504,-1,1829.5993600000002,1829.5089623881945,0,1829.0478924116076,0.004962388194599043
2022-01-02 18:08:00,1829.504,1830.004,1830.004,1829.504,1,1829.6802880000002,1829.5851220207799,0,1829.0574059199498,0.4188779792200421
2022-01-02 18:08:00,1830.004,1830.504,1830.504,1830.004,1,1829.8450304000003,1829.7264878637368,0,1829.0717998908958,0.7775121362631126
2022-01-02 18:09:00,1830.504,1831.004,1831.004,1830.504,1,1830.0768243200005,1829.9230281923926,0,1829.0910257626283,1.080971807607284
2022-01-02 18:09:00,1831.004,1831.504,1831.504,1831.004,1,1830.3622594560004,1830.1662546243322,0,1829.1150354565327,1.3377453756677369
2022-01-02 18:10:00,1831.504,1831.004,1831.504,1831.004,-1,1830.4906075648005,1830.295138528281,0,1829.133831123632,0.7088614717188193
2022-01-02 18:11:00,1831.004,1830.504,1831.004,1830.504,-1,1830.4932860518404,1830.3272710623917,0,1829.14746464479,0.17672893760823172
2022-01-02 18:12:00,1830.504,1831.004,1831.004,1830.504,1,1830.5954288414725,1830.431383206639,0,1829.1659376333992,0.572616793360794
2022-01-02 18:14:00,1831.004,1830.504,1831.004,1830.504,-1,1830.5771430731781,1830.4425550210024,0,1829.1792516867984,0.06144497899754242
2022-01-02 18:19:00,1830.504,1830.004,1830.504,1830.004,-1,1830.4625144585427,1830.3750850177712,0,1829.187458137676,0.37108501777129277
2022-01-02 18:22:00,1830.004,1829.504,1830.004,1829.504,-1,1830.2708115668343,1830.241071938114,0,1829.190607807948,0.7370719381140134
2022-01-02 18:26:00,1829.504,1829.004,1829.504,1829.004,-1,1830.0174492534675,1830.050753178404,-1,1829.188751013839,1.0467531784040602
2022-01-02 18:42:00,1829.004,1828.504,1829.004,1828.504,-1,1829.7147594027742,1829.8127911509573,0,1829.1819375709154,1.3087911509574042
2022-01-02 18:48:00,1828.504,1828.004,1828.504,1828.004,-1,1829.3726075222194,1829.5345155892715,0,1829.1702167990657,1.5305155892715447
2022-01-02 19:14:00,1828.004,1827.504,1828.004,1827.504,-1,1828.9988860177757,1829.2221285755372,0,1829.1536375274331,1.718128575537321
2022-01-02 19:22:00,1827.504,1827.004,1827.504,1827.004,-1,1828.5999088142207,1828.8808780254544,0,1829.1322480992997,1.8768780254545163
2022-01-02 19:23:00,1827.004,1827.504,1827.504,1827.004,1,1828.3807270513767,1828.6690506369227,0,1829.116046625675,1.1650506369228424
2022-01-02 19:27:00,1827.504,1828.004,1828.004,1827.504,1,1828.3053816411013,1828.5667351543193,0,1829.1049814851212,0.5627351543193981
2022-01-02 19:29:00,1828.004,1828.504,1828.504,1828.004,1,1828.3451053128813,1828.5570835921162,0,1829.0990015698465,0.053083592116308864
2022-01-02 19:30:00,1828.504,1829.004,1829.004,1828.504,1,1828.4768842503051,1828.62583996256,0,1829.0980562805942,0.37816003744001137
2022-01-02 19:31:00,1829.004,1829.504,1829.504,1829.004,1,1828.682307400244,1828.7609415067814,0,1829.1020955215834,0.7430584932185411
2022-01-02 19:31:00,1829.504,1830.004,1830.004,1829.504,1,1828.9466459201954,1828.9521812749688,0,1829.111069695498,1.0518187250311257
2022-01-02 19:31:00,1830.004,1830.504,1830.504,1830.004,1,1829.2581167361564,1829.1909226172813,1,1829.124929698528,1.3130773827185749
2022-01-02 19:33:00,1830.504,1830.004,1830.504,1830.004,-1,1829.4072933889252,1829.316011445392,0,1829.1336766667018,0.6879885546079549
2022-01-02 19:34:00,1830.004,1829.504,1830.004,1829.504,-1,1829.4266347111402,1829.3449327614853,0,1829.1373614759884,0.15906723851458082
2022-01-02 19:39:00,1829.504,1830.004,1830.004,1829.504,1,1829.5421077689123,1829.4463277212567,0,1829.1459847448841,0.5576722787432118
2022-01-02 19:41:00,1830.004,1829.504,1830.004,1829.504,-1,1829.53448621513,1829.4552003795247,0,1829.1495470857312,0.048799620475165284
2022-01-02 19:56:00,1829.504,1830.004,1830.004,1829.504,1,1829.6283889721042,1829.539631090367,0,1829.1580491047787,0.46436890963286714
2022-01-02 20:00:00,1830.004,1829.504,1830.004,1829.504,-1,1829.6035111776832,1829.5341493841568,0,1829.1614914022437,0.030149384156857195
2022-01-02 20:01:00,1829.504,1830.004,1830.004,1829.504,1,1829.6836089421467,1829.6064340942864,0,1829.1698745723706,0.3975659057134635
2022-01-02 20:02:00,1830.004,1830.504,1830.504,1830.004,1,1829.8476871537175,1829.744521156704,0,1829.1831494522478,0.7594788432959376
2022-01-02 20:09:00,1830.504,1831.004,1831.004,1830.504,1,1830.0789497229741,1829.9382871325956,0,1829.2012673681459,1.0657128674042724
2022-01-02 20:30:00,1831.004,1830.504,1831.004,1830.504,-1,1830.1639597783794,1830.025319881427,0,1829.2142298818958,0.4786801185728109
