entry_time,exit_time,direction,entry,exit,sl,tp,lot,pnl,r_multiple,bars_held,exit_reason
2022-02-03 04:03:00,2022-02-03 04:58:00,LONG,1805.5,1803.5,,,0.1,-24.5,0.0,8,REV
2022-02-03 04:58:00,2022-02-03 06:43:00,SHORT,1803.5,1804.5,,,0.1,-14.5,0.0,14,REV
2022-02-03 06:43:00,2022-02-03 07:01:00,LONG,1804.5,1803.0,,,0.1,-19.5,0.0,7,REV
2022-02-03 07:01:00,2022-02-03 07:07:00,SHORT,1803.0,1804.0,,,0.1,-14.5,0.0,8,REV
2022-02-03 07:07:00,2022-02-03 07:08:00,LONG,1804.0,1803.0,,,0.1,-14.5,0.0,2,REV
2022-02-03 07:08:00,2022-02-03 07:44:00,SHORT,1803.0,1802.5,,,0.1,0.5,0.0,21,REV
2022-02-03 07:44:00,2022-02-03 07:48:00,LONG,1802.5,1801.0,,,0.1,-19.5,0.0,5,REV
2022-02-03 07:48:00,2022-02-03 07:51:00,SHORT,1801.0,1802.0,,,0.1,-14.5,0.0,2,REV
2022-02-03 07:51:00,2022-02-03 07:51:00,LONG,1802.0,1801.5,,,0.1,-9.5,0.0,1,REV
2022-02-03 07:51:00,2022-02-03 08:08:00,SHORT,1801.5,1802.0,,,0.1,-9.5,0.0,9,REV
2022-02-03 08:08:00,2022-02-03 08:09:00,LONG,1802.0,1801.5,,,0.1,-9.5,0.0,1,REV
2022-02-03 08:09:00,2022-02-03 08:09:00,SHORT,1801.5,1802.0,,,0.1,-9.5,0.0,1,REV
2022-02-03 08:09:00,2022-02-03 08:21:00,LONG,1802.0,1801.5,,,0.1,-9.5,0.0,11,REV
2022-02-03 08:21:00,2022-02-03 08:29:00,SHORT,1801.5,1802.5,,,0.1,-14.5,0.0,6,REV
2022-02-03 08:29:00,2022-02-03 08:43:00,LONG,1802.5,1802.5,,,0.1,-4.5,0.0,20,REV
2022-02-03 08:43:00,2022-02-03 08:44:00,SHORT,1802.5,1803.5,,,0.1,-14.5,0.0,2,REV
2022-02-03 08:44:00,2022-02-03 08:45:00,LONG,1803.5,1802.5,,,0.1,-14.5,0.0,2,REV
2022-02-03 08:45:00,2022-02-03 08:45:00,SHORT,1802.5,1803.0,,,0.1,-9.5,0.0,1,REV
2022-02-03 08:45:00,2022-02-03 08:47:00,LONG,1803.0,1802.5,,,0.1,-9.5,0.0,3,REV
2022-02-03 08:47:00,2022-02-03 08:47:00,SHORT,1802.5,1803.0,,,0.1,-9.5,0.0,1,REV
2022-02-03 08:47:00,2022-02-03 08:49:00,LONG,1803.0,1802.0,,,0.1,-14.5,0.0,6,REV
2022-02-03 08:49:00,2022-02-03 08:50:00,SHORT,1802.0,1804.0,,,0.1,-24.5,0.0,4,REV
2022-02-03 08:50:00,2022-02-03 08:59:00,LONG,1804.0,1802.5,,,0.1,-19.5,0.0,13,REV
2022-02-03 08:59:00,2022-02-03 09:04:00,SHORT,1802.5,1804.0,,,0.1,-19.5,0.0,5,REV
2022-02-03 09:04:00,2022-02-03 09:06:00,LONG,1804.0,1803.0,,,0.1,-14.5,0.0,2,REV
2022-02-03 09:06:00,2022-02-03 09:06:00,SHORT,1803.0,1803.5,,,0.1,-9.5,0.0,1,REV
2022-02-03 09:06:00,2022-02-03 09:16:00,LONG,1803.5,1803.5,,,0.1,-4.5,0.0,12,REV
2022-02-03 09:16:00,2022-02-03 09:17:00,SHORT,1803.5,1804.0,,,0.1,-9.5,0.0,1,REV
2022-02-03 09:17:00,2022-02-03 09:18:00,LONG,1804.0,1803.5,,,0.1,-9.5,0.0,1,REV
2022-02-03 09:18:00,2022-02-03 09:21:00,SHORT,1803.5,1804.5,,,0.1,-14.5,0.0,2,REV
2022-02-03 09:21:00,2022-02-03 09:23:00,LONG,1804.5,1803.5,,,0.1,-14.5,0.0,2,REV
2022-02-03 09:23:00,2022-02-03 09:34:00,SHORT,1803.5,1803.0,,,0.1,0.5,0.0,23,REV
2022-02-03 09:34:00,2022-02-03 09:35:00,LONG,1803.0,1801.0,,,0.1,-24.5,0.0,4,REV
2022-02-03 09:35:00,2022-02-03 09:41:00,SHORT,1801.0,1802.0,,,0.1,-14.5,0.0,18,REV
2022-02-03 09:41:00,2022-02-03 09:44:00,LONG,1802.0,1800.0,,,0.1,-24.5,0.0,6,REV
