session,date,year,dt,exit_dt,side,R,rpct,entry,spread,gross,cost,net,Rmult,exit,entry_hour
ASIA,2018-01-16 00:00:00+00:00,2018,2018-01-16 08:44:00+00:00,2018-01-16 09:17:00+00:00,-1,3.7799999999999727,0.28196484241546693,1337.89,0.33,2.8349999999999795,0.42000000000000004,2.4149999999999796,0.6388888888888881,tp,8
NY,2018-01-16 00:00:00+00:00,2018,2018-01-16 18:25:00+00:00,2018-01-16 19:22:00+00:00,1,4.029999999999973,0.30204571326961377,1336.14,0.345,3.0224999999999795,0.435,2.5874999999999795,0.6420595533498752,tp,18
ASIA,2018-01-17 00:00:00+00:00,2018,2018-01-17 07:00:00+00:00,2018-01-17 15:59:00+00:00,-1,10.050000000000182,0.7504489470597814,1333.54,0.33,-2.5399999999999636,0.42000000000000004,-2.9599999999999635,-0.29452736318407063,time,7
NY,2018-01-17 00:00:00+00:00,2018,2018-01-17 18:10:00+00:00,2018-01-17 19:56:00+00:00,1,5.779999999999973,0.43287192988423145,1337.3,0.345,-5.779999999999973,0.435,-6.214999999999972,-1.0752595155709346,sl,18
ASIA,2018-01-18 00:00:00+00:00,2018,2018-01-18 10:33:00+00:00,2018-01-18 15:59:00+00:00,1,5.420000000000073,0.4084904377396314,1329.53,0.33,0.0,0.42000000000000004,-0.42000000000000004,-0.07749077490774804,time,10
LON,2018-01-18 00:00:00+00:00,2018,2018-01-18 14:46:00+00:00,2018-01-18 19:59:00+00:00,1,6.269999999999982,0.47192283667723944,1331.78,0.36,-3.1800000000000637,0.45,-3.630000000000064,-0.5789473684210645,time,14
NY,2018-01-18 00:00:00+00:00,2018,2018-01-18 18:30:00+00:00,2018-01-18 21:59:00+00:00,-1,6.220000000000027,0.4677528027959154,1326.55,0.345,-0.09000000000014552,0.435,-0.5250000000001456,-0.0844051446945568,time,18
ASIA,2018-01-19 00:00:00+00:00,2018,2018-01-19 07:40:00+00:00,2018-01-19 08:29:00+00:00,1,5.730000000000018,0.43075831547521315,1332.66,0.33,4.297500000000014,0.42000000000000004,3.8775000000000137,0.6767015706806285,tp,7
ASIA,2018-01-22 00:00:00+00:00,2018,2018-01-22 07:00:00+00:00,2018-01-22 10:30:00+00:00,-1,4.600000000000136,0.3453680544185034,1328.96,0.33,-4.600000000000136,0.42000000000000004,-5.020000000000136,-1.0913043478260842,sl,7
LON,2018-01-22 00:00:00+00:00,2018,2018-01-22 15:41:00+00:00,2018-01-22 19:59:00+00:00,1,6.170000000000073,0.4632058176848983,1334.83,0.355,-1.949999999999818,0.445,-2.394999999999818,-0.3881685575364327,time,15
ASIA,2018-01-23 00:00:00+00:00,2018,2018-01-23 07:21:00+00:00,2018-01-23 14:10:00+00:00,1,4.180000000000064,0.3129856667415275,1337.15,0.33,-4.180000000000064,0.42000000000000004,-4.600000000000064,-1.10047846889952,sl,7
LON,2018-01-23 00:00:00+00:00,2018,2018-01-23 14:03:00+00:00,2018-01-23 14:20:00+00:00,-1,3.119999999999891,0.23340938090255603,1334.28,0.36,2.339999999999918,0.45,1.8899999999999182,0.6057692307692257,tp,14
NY,2018-01-23 00:00:00+00:00,2018,2018-01-23 19:28:00+00:00,2018-01-23 22:00:00+00:00,1,7.75,0.5801982456302338,1339.04,0.35,2.0399999999999636,0.44,1.5999999999999637,0.20645161290322112,time,19
ASIA,2018-01-24 00:00:00+00:00,2018,2018-01-24 07:00:00+00:00,2018-01-24 08:08:00+00:00,1,2.6399999999998727,0.19687824926015893,1343.05,0.33,1.9799999999999045,0.42000000000000004,1.5599999999999046,0.5909090909090833,tp,7
LON,2018-01-24 00:00:00+00:00,2018,2018-01-24 13:00:00+00:00,2018-01-24 18:54:00+00:00,1,8.409999999999854,0.6242307061682124,1352.72,0.345,6.307499999999891,0.435,5.872499999999891,0.6982758620689646,tp,13
NY,2018-01-24 00:00:00+00:00,2018,2018-01-24 18:13:00+00:00,2018-01-24 18:56:00+00:00,1,4.339999999999918,0.32075781620835203,1356.0,0.345,3.2549999999999386,0.435,2.8199999999999386,0.6497695852534543,tp,18
LON,2018-01-25 00:00:00+00:00,2018,2018-01-25 14:17:00+00:00,2018-01-25 18:01:00+00:00,-1,6.980000000000018,0.5133903304475859,1356.26,0.36,-6.980000000000018,0.45,-7.430000000000018,-1.0644699140401144,sl,14
NY,2018-01-25 00:00:00+00:00,2018,2018-01-25 17:31:00+00:00,2018-01-25 19:09:00+00:00,1,8.11999999999989,0.5978259602487377,1361.56,0.34,-8.11999999999989,0.43000000000000005,-8.54999999999989,-1.0529556650246312,sl,17
ASIA,2018-01-26 00:00:00+00:00,2018,2018-01-26 07:00:00+00:00,2018-01-26 15:59:00+00:00,1,7.930000000000064,0.5869819783291269,1353.84,0.33,-1.8599999999999,0.42000000000000004,-2.2799999999999,-0.28751576292558406,time,7
LON,2018-01-26 00:00:00+00:00,2018,2018-01-26 14:07:00+00:00,2018-01-26 19:59:00+00:00,-1,7.3900000000001,0.5455221367814277,1349.45,0.36,-0.9600000000000364,0.45,-1.4100000000000363,-0.1907983761840348,time,14
NY,2018-01-26 00:00:00+00:00,2018,2018-01-26 18:17:00+00:00,2018-01-26 20:47:00+00:00,1,5.290000000000191,0.39133764143800986,1354.05,0.345,-5.290000000000191,0.435,-5.725000000000191,-1.0822306238185224,sl,18
ASIA,2018-01-29 00:00:00+00:00,2018,2018-01-29 08:17:00+00:00,2018-01-29 12:43:00+00:00,-1,6.039999999999964,0.44777731200663196,1346.25,0.33,4.529999999999973,0.42000000000000004,4.109999999999973,0.68046357615894,tp,8
LON,2018-01-29 00:00:00+00:00,2018,2018-01-29 13:00:00+00:00,2018-01-29 15:53:00+00:00,-1,3.769999999999982,0.2798779346166528,1343.61,0.345,2.8274999999999864,0.435,2.3924999999999863,0.634615384615384,tp,13
ASIA,2018-01-30 00:00:00+00:00,2018,2018-01-30 09:50:00+00:00,2018-01-30 14:01:00+00:00,1,7.0499999999999545,0.527037731270767,1341.51,0.33,5.287499999999966,0.42000000000000004,4.867499999999966,0.6904255319148932,tp,9
LON,2018-01-30 00:00:00+00:00,2018,2018-01-30 14:01:00+00:00,2018-01-30 19:59:00+00:00,1,11.5,0.8581624820964298,1346.65,0.36,-6.560000000000173,0.45,-7.010000000000173,-0.6095652173913194,time,14
NY,2018-01-30 00:00:00+00:00,2018,2018-01-30 18:09:00+00:00,2018-01-30 21:59:00+00:00,-1,11.240000000000009,0.8365347367204149,1337.21,0.345,-1.099999999999909,0.435,-1.534999999999909,-0.1365658362989242,time,18
ASIA,2018-01-31 00:00:00+00:00,2018,2018-01-31 07:00:00+00:00,2018-01-31 15:59:00+00:00,1,6.759999999999991,0.5046635444688187,1343.2,0.33,-0.9300000000000637,0.42000000000000004,-1.3500000000000636,-0.199704142011844,time,7
LON,2018-01-31 00:00:00+00:00,2018,2018-01-31 13:41:00+00:00,2018-01-31 16:33:00+00:00,1,3.3799999999998818,0.2516920269550655,1344.63,0.345,-3.3799999999998818,0.435,-3.814999999999882,-1.1286982248520756,sl,13
NY,2018-01-31 00:00:00+00:00,2018,2018-01-31 17:18:00+00:00,2018-01-31 19:15:00+00:00,-1,4.829999999999927,0.3595855274269992,1339.9,0.34,3.6224999999999454,0.43000000000000005,3.1924999999999453,0.6609730848861269,tp,17
ASIA,2018-02-01 00:00:00+00:00,2018,2018-02-01 07:00:00+00:00,2018-02-01 15:59:00+00:00,-1,5.5499999999999545,0.41287470626847,1341.07,0.33,-1.0199999999999818,0.42000000000000004,-1.4399999999999817,-0.2594594594594583,time,7
LON,2018-02-01 00:00:00+00:00,2018,2018-02-01 14:43:00+00:00,2018-02-01 18:43:00+00:00,1,4.939999999999827,0.36872315996443433,1342.38,0.36,3.7049999999998704,0.45,3.25499999999987,0.6589068825910899,tp,14
NY,2018-02-01 00:00:00+00:00,2018,2018-02-01 18:29:00+00:00,2018-02-01 20:44:00+00:00,1,6.319999999999936,0.47120996579253766,1344.93,0.345,4.739999999999952,0.435,4.304999999999953,0.6811708860759488,tp,18
ASIA,2018-02-02 00:00:00+00:00,2018,2018-02-02 09:34:00+00:00,2018-02-02 13:30:00+00:00,-1,3.6200000000001182,0.2685553133685323,1346.32,0.33,2.7150000000000887,0.42000000000000004,2.2950000000000887,0.63397790055249,tp,9
LON,2018-02-02 00:00:00+00:00,2018,2018-02-02 13:30:00+00:00,2018-02-02 13:52:00+00:00,-1,5.2000000000000455,0.38613585165195563,1340.72,0.345,3.900000000000034,0.435,3.465000000000034,0.6663461538461546,tp,13
ASIA,2018-02-05 00:00:00+00:00,2018,2018-02-05 08:03:00+00:00,2018-02-05 10:32:00+00:00,1,4.670000000000073,0.3508665822307919,1333.7,0.33,3.5025000000000546,0.42000000000000004,3.0825000000000546,0.6600642398286952,tp,8
LON,2018-02-06 00:00:00+00:00,2018,2018-02-06 13:00:00+00:00,2018-02-06 14:35:00+00:00,-1,5.3900000000001,0.40152792176001983,1335.53,0.345,4.042500000000075,0.435,3.607500000000075,0.6692949907235637,tp,13
NY,2018-02-06 00:00:00+00:00,2018,2018-02-06 18:29:00+00:00,2018-02-06 22:00:00+00:00,-1,11.429999999999836,0.8583036481941129,1326.01,0.345,1.8199999999999363,0.435,1.3849999999999363,0.12117235345581419,time,18
ASIA,2018-02-07 00:00:00+00:00,2018,2018-02-07 07:11:00+00:00,2018-02-07 12:18:00+00:00,1,6.350000000000136,0.47796799621641056,1331.01,0.33,-6.350000000000136,0.42000000000000004,-6.770000000000136,-1.0661417322834632,sl,7
LON,2018-02-07 00:00:00+00:00,2018,2018-02-07 13:00:00+00:00,2018-02-07 14:11:00+00:00,-1,5.190000000000055,0.3904326497786323,1324.47,0.345,3.892500000000041,0.435,3.457500000000041,0.6661849710982668,tp,13
NY,2018-02-07 00:00:00+00:00,2018,2018-02-07 17:09:00+00:00,2018-02-07 18:29:00+00:00,-1,7.829999999999927,0.592119554206315,1317.34,0.34,5.872499999999945,0.43000000000000005,5.442499999999946,0.6950830140485308,tp,17
ASIA,2018-02-08 00:00:00+00:00,2018,2018-02-08 09:30:00+00:00,2018-02-08 15:59:00+00:00,-1,9.490000000000009,0.7221756893391453,1309.6,0.33,-4.620000000000118,0.42000000000000004,-5.040000000000118,-0.5310853530031732,time,9
LON,2018-02-08 00:00:00+00:00,2018,2018-02-08 13:25:00+00:00,2018-02-08 16:18:00+00:00,1,4.419999999999845,0.33710749666564926,1313.56,0.345,3.314999999999884,0.435,2.879999999999884,0.6515837104072364,tp,13
NY,2018-02-08 00:00:00+00:00,2018,2018-02-08 17:16:00+00:00,2018-02-08 21:59:00+00:00,1,7.410000000000082,0.5636312737138238,1318.4,0.34,0.10999999999989996,0.43000000000000005,-0.3200000000001001,-0.04318488529016148,time,17
ASIA,2018-02-09 00:00:00+00:00,2018,2018-02-09 08:05:00+00:00,2018-02-09 15:59:00+00:00,-1,6.039999999999964,0.45812246774038207,1315.24,0.33,-0.20000000000004547,0.42000000000000004,-0.6200000000000455,-0.10264900662252471,time,8
LON,2018-02-09 00:00:00+00:00,2018,2018-02-09 14:21:00+00:00,2018-02-09 19:59:00+00:00,-1,6.849999999999909,0.5206265790281056,1313.33,0.36,-0.9800000000000182,0.45,-1.4300000000000181,-0.20875912408759667,time,14
NY,2018-02-09 00:00:00+00:00,2018,2018-02-09 17:09:00+00:00,2018-02-09 21:59:00+00:00,1,7.650000000000091,0.5819979844991435,1318.84,0.34,-3.0299999999999727,0.43000000000000005,-3.459999999999973,-0.45228758169933747,time,17
