dir,entry_i,sig_i,exit_i,entry_time,exit_time,entry,exit,pnl,adx,chop,er,atrr,bbw,sep,bbpos,distmid,runup,slope,rng20,htfstr,body,wick,hour,atr_pct,runup_signed,bbpos_side,side,idx,mins,consec,result,day
1,160949,160948,160954,2023-08-01 00:22:00,2023-08-01 00:27:00,1961.035,1960.835,-0.4000000000000455,20.87365081978919,44.74036419870323,0.23809523809524955,0.9091104906531785,1.01535444506752,0.0019841018496498906,0.6109503128120027,0.5531927118444417,-0.4167890294715801,0.05727258007845806,5.83504641260729,0.014622473148967377,1.02302761779474,0.0999999999999242,0,0.56,-0.4167890294715801,0.6109503128120027,LONG,1,,0,LOSS,2023-08-01
-1,160954,160953,160981,2023-08-01 00:27:00,2023-08-01 00:54:00,1960.835,1959.775,0.8599999999999455,17.28087648515395,43.72868223239495,0.01388888888887573,0.8081344245295811,0.578038295465663,0.0033720595384740958,0.4619967662378481,-0.12836773836580417,0.6756196756124063,0.14255426600594998,4.774379040991197,0.003912849771608313,0.36033049365940384,0.38461538461538464,0,0.37,-0.6756196756124063,0.5380032337621519,SHORT,2,0.0,1,WIN,2023-08-01
-1,160986,160985,160992,2023-08-01 00:59:00,2023-08-01 01:05:00,1959.455,1959.895,-0.6400000000000545,19.095826300133705,50.59518740100925,0.012706480304947084,0.9814588470107268,0.5152157746035977,0.04844836865349689,0.31909333275034396,-0.4353245901402085,-0.379743893065003,-0.09735061214221054,4.049450786952123,0.20291583581177072,0.5523547535487384,0.44827586206861403,0,0.65,0.379743893065003,0.680906667249656,SHORT,3,5.0,0,LOSS,2023-08-01
-1,161002,161001,161014,2023-08-01 01:15:00,2023-08-01 01:27:00,1959.355,1959.165,-0.009999999999945441,12.91550778792221,47.19846230844611,0.3255813953487573,1.0439950079362168,1.112910583505983,0.05542704147926407,0.367984122753706,-0.6221882055936592,-0.6997715759731834,-0.3448538164919797,4.867976180683045,0.162173231919873,0.6693467248439446,0.1538461538460193,1,0.818,0.6997715759731834,0.632015877246294,SHORT,4,10.0,1,LOSS,2023-08-01
-1,161028,161027,161049,2023-08-01 01:41:00,2023-08-01 02:02:00,1959.255,1958.735,0.3200000000002092,17.59058099098777,48.95625673417662,0.17037037037039532,0.8917776073815346,1.2623280551740919,0.06872892346969721,0.46845892900472064,-0.23438921449273203,1.2010025866612184,-0.9148833540562638,6.7023692739444245,0.13754698789782616,0.5423882649429804,0.0,1,0.486,-1.2010025866612184,0.5315410709952794,SHORT,5,14.0,2,WIN,2023-08-01
-1,161051,161050,161072,2023-08-01 02:04:00,2023-08-01 02:25:00,1958.378,1957.215,0.963000000000011,15.206842198962631,59.019789538040435,0.25623268698065804,0.991407597769026,0.6905562413724934,0.07607342394881013,0.1878648685512324,-1.1650251430363536,-2.5054304151337723,0.09688723026748232,4.552120050031422,0.1701483791618746,1.0939203221004126,0.0,2,0.578,2.5054304151337723,0.8121351314487676,SHORT,6,2.0,0,WIN,2023-08-01
-1,161092,161091,161104,2023-08-01 02:45:00,2023-08-01 02:57:00,1957.355,1957.885,-0.7299999999999727,21.053937344093445,66.1408461737846,0.06403940886702818,1.0364187799576112,0.6261949547932142,0.013210560526804697,0.23106222233196533,-0.7682447558786324,0.0,-0.28988499121429095,2.9632297726724075,0.20561518675018328,1.3718656354965775,0.15254237288123837,2,0.888,-0.0,0.7689377776680346,SHORT,7,20.0,0,LOSS,2023-08-01
-1,161108,161107,161132,2023-08-01 03:01:00,2023-08-01 03:25:00,1957.245,1956.895,0.14999999999990904,12.987276392916915,56.56481292659172,0.050691244239688314,0.9478376062887401,0.5873590439873112,0.053721038735993584,0.14269249614770949,-1.0958275113338205,-0.6998027648573686,0.45396670047745863,3.530823040870513,0.1392685558290848,0.9542764975332356,0.30232558139502913,3,0.684,0.6998027648573686,0.8573075038522905,SHORT,8,4.0,1,WIN,2023-08-01
-1,161142,161141,161155,2023-08-01 03:35:00,2023-08-01 03:48:00,1956.065,1955.925,-0.05999999999989997,14.539920739969158,46.08345782176271,0.31707317073172087,1.1661805533953364,1.210133195338609,0.015835959301829503,0.47985865138730055,-0.08034150420857926,1.1965349914164725,-0.18473473572747626,4.370119825109864,0.17625778138658396,0.29197743809690274,0.30454545454544985,3,0.964,-1.1965349914164725,0.5201413486126995,SHORT,9,10.0,0,LOSS,2023-08-01
-1,161156,161155,161160,2023-08-01 03:49:00,2023-08-01 03:53:00,1955.255,1955.755,-0.7,13.738489058688417,53.46556734014056,0.07359307359301565,1.0673395882326158,1.051866608589371,0.013885161734943557,0.24615388762947968,-1.0129476919569453,-2.042224698743613,0.4755847888871271,4.198966670314159,0.21159172973096974,1.4208624591463697,0.06944444444469446,3,0.942,2.042224698743613,0.7538461123705203,SHORT,10,1.0,1,LOSS,2023-08-01
-1,161162,161161,161167,2023-08-01 03:55:00,2023-08-01 04:00:00,1954.845,1955.435,-0.7899999999999181,13.063112232952967,56.419583923295775,0.15228426395936567,1.1873046147966488,0.9148871527378496,0.05900259757767524,0.1123718629008014,-1.1424037325592162,-1.018248831209824,0.039807613059996104,3.2512506540386346,0.23262875880312603,1.8578575165935056,0.15925626515772326,3,0.984,1.018248831209824,0.8876281370991986,SHORT,11,2.0,2,LOSS,2023-08-01
