group,variant,net_2022_23,win_2022_23,n_2022_23,net_2024_25,win_2024_25,n_2024_25,net_2026,net_sep26,sep26_win,net_4y,win_4y,n_4y,trades_kept_pct,n_sep26
family,"fixed $3, fail 2",-1394.6370000000147,30.22382219439662,6389.0,-2211.793000000058,42.16645673868811,10321.0,-723.2750000000059,99.0799999999947,55.97826086956522,-3606.4300000000726,37.600239377618195,16710.0,32.06616645238049,
family,"fixed $5, fail 2",-1317.1340000000118,29.051416935347024,5893.0,-1930.1700000000474,39.922430510665805,7735.0,-610.8699999999883,128.247000000001,59.45945945945946,-3247.304000000059,35.22160258291752,13628.0,26.15186812765059,
family,"fixed $8, fail 2",-1311.6170000000106,28.775615636301016,5807.0,-1579.557000000038,38.325731940562015,6797.0,-747.3949999999844,93.06400000000082,58.333333333333336,-2891.174000000049,33.925737860996506,12604.0,24.186831954865575,
family,"fixed $12, fail 2",-1293.8830000000103,28.788401794960304,5794.0,-1615.5120000000356,37.49044780681645,6543.0,-847.3399999999924,48.86799999999984,55.55555555555556,-2909.395000000046,33.40358271865121,12337.0,23.674464124656982,
family,"fixed $3, fail 3",-1346.5680000000134,30.5464736104624,6423.0,-2340.8980000000474,42.36997523337779,10498.0,-845.5899999999939,83.60099999999386,55.208333333333336,-3687.4660000000613,37.881921872229775,16921.0,32.47107136688991,
family,"fixed $5, fail 3",-1230.58500000001,29.441971927422117,5842.0,-1951.5390000000375,40.26977475117863,7636.0,-724.5049999999753,123.9429999999982,63.06306306306306,-3182.1240000000475,35.576495028936044,13478.0,25.864021032027786,
family,"fixed $8, fail 3",-1229.3090000000084,29.008033531260914,5726.0,-1503.327000000028,38.64432597105865,6565.0,-607.1199999999754,112.73899999999792,62.31884057971014,-2732.636000000036,34.155072817508746,12291.0,23.586191015332655,
family,"fixed $12, fail 3",-1211.6290000000079,29.01926444833625,5710.0,-1374.0660000000248,37.719578409453845,6262.0,-619.599999999987,70.82299999999704,60.3448275862069,-2585.6950000000325,33.5699966588707,11972.0,22.97403619197482,
family,"fixed $3, fail 4",-1516.1090000000145,30.392883617494444,6745.0,-2502.6940000000504,42.54943830656392,10771.0,-966.0599999999881,107.88799999999353,57.89473684210527,-4018.8030000000654,37.86823475679379,17516.0,33.6128648461937,
family,"fixed $5, fail 4",-1371.1230000000085,29.207347344034417,6043.0,-2099.6440000000357,40.7412156963324,7798.0,-515.3799999999828,100.67000000000043,63.888888888888886,-3470.7670000000444,35.70551260747056,13841.0,26.560611003434975,
family,"fixed $8, fail 4",-1350.103000000007,28.728813559322035,5900.0,-1640.247000000026,38.940998487140696,6610.0,-602.7749999999838,84.57999999999957,62.5,-2990.350000000033,34.124700239808156,12510.0,24.00644777494195,
