year,end,n0,wr0,net0,n_blk,wr_blk,net_blk,n1,wr1,net1
2022,2022-12-30,203,26.60098522167488,-36.330000000002066,48,22.916666666666664,-18.391000000000624,139,33.093525179856115,-35.60599999999981
2022,2022-12-29,199,28.643216080402013,-33.37200000000193,49,26.53061224489796,-14.458000000000357,140,32.857142857142854,-40.04300000000012
2022,2022-12-28,204,28.431372549019606,-28.176000000001345,44,25.0,-12.950000000000088,133,33.83458646616541,-40.32199999999952
2022,2022-12-27,204,25.98039215686275,-33.552000000001776,47,23.404255319148938,-12.581000000000264,129,31.782945736434108,-38.39400000000028
2022,2022-12-23,271,25.461254612546124,-62.186000000001926,63,26.984126984126984,-5.349000000001159,167,31.137724550898206,-35.83200000000115
2022,2022-12-22,271,22.509225092250922,-76.19000000000116,66,24.242424242424242,-12.676000000000794,170,28.823529411764703,-46.06200000000034
2022,2022-12-21,268,24.62686567164179,-55.14700000000161,71,23.943661971830984,-13.255000000001424,177,31.07344632768362,-28.42300000000173
2022,2022-12-20,270,24.444444444444443,-62.19400000000156,67,25.37313432835821,-13.846000000000597,175,31.428571428571427,-44.27799999999981
2022,2022-12-19,280,27.142857142857142,-61.42499999999997,77,24.675324675324674,-24.559999999999857,188,31.914893617021278,-41.78600000000014
2022,2022-12-16,258,27.51937984496124,-54.27200000000002,65,29.230769230769234,-15.912999999999329,171,34.50292397660819,-33.78500000000072
2022,2022-12-15,265,31.69811320754717,-34.299999999999955,69,34.78260869565217,-4.701999999999815,171,38.01169590643275,-19.084000000000692
2022,2022-12-14,263,30.418250950570343,-46.656999999998874,62,35.483870967741936,3.5590000000005126,171,36.25730994152047,-20.881000000000498
2022,2022-12-13,256,32.03125,-41.226999999998455,60,36.666666666666664,0.4659999999998923,164,36.58536585365854,-23.581000000000632
2022,2022-12-12,252,33.730158730158735,-25.799999999997578,54,37.03703703703704,2.9979999999999993,163,41.104294478527606,-19.436999999999305
2022,2022-12-09,253,30.434782608695656,-41.91399999999644,57,31.57894736842105,-6.955999999999132,163,38.65030674846626,-24.408999999998613
2022,2022-12-08,254,30.708661417322837,-34.11999999999698,55,32.72727272727273,-7.444999999999254,164,38.41463414634146,-22.279999999999575
2022,2022-12-07,251,31.47410358565737,-31.9509999999968,53,33.9622641509434,-13.563999999999483,160,44.375,-4.9099999999991795
2022,2022-12-05,252,26.190476190476193,-50.294999999996584,52,34.61538461538461,-13.746999999999296,160,44.375,1.953000000000653
2022,2022-12-04,249,26.104417670682732,-53.576999999996644,55,30.909090909090907,-15.89399999999932,164,40.853658536585364,-6.166999999999278
