entry_time,exit_time,direction,entry,exit,sl,tp,lot,pnl,r_multiple,bars_held,exit_reason
2022-02-03 08:42:00,2022-02-03 09:30:00,LONG,1803.5,1801.5,,,0.1,-24.5,0.0,20,REV
2022-02-03 09:30:00,2022-02-03 10:02:00,SHORT,1801.5,1792.5,,,0.1,85.5,0.0,45,REV
2022-02-03 10:02:00,2022-02-03 10:04:00,LONG,1792.5,1790.5,,,0.1,-24.5,0.0,2,REV
2022-02-03 10:04:00,2022-02-03 10:06:00,SHORT,1790.5,1792.5,,,0.1,-24.5,0.0,2,REV
2022-02-03 10:06:00,2022-02-03 10:07:00,LONG,1792.5,1791.5,,,0.1,-14.5,0.0,1,REV
2022-02-03 10:07:00,2022-02-03 10:08:00,SHORT,1791.5,1792.5,,,0.1,-14.5,0.0,1,REV
2022-02-03 10:08:00,2022-02-03 13:23:00,LONG,1792.5,1804.5,,,0.1,115.5,0.0,44,REV
2022-02-03 13:23:00,2022-02-03 14:32:00,SHORT,1804.5,1806.5,,,0.1,-24.5,0.0,4,REV
2022-02-03 14:32:00,2022-02-03 18:16:00,LONG,1806.5,1804.5,,,0.1,-24.5,0.0,4,REV
2022-02-03 18:16:00,2022-02-03 20:03:00,SHORT,1804.5,1805.5,,,0.1,-14.5,0.0,1,REV
2022-02-03 20:03:00,2022-02-04 08:30:00,LONG,1805.5,1809.5,,,0.1,35.5,0.0,36,REV
2022-02-04 08:30:00,2022-02-04 09:10:00,SHORT,1809.5,1796.5,,,0.1,125.5,0.0,59,REV
2022-02-04 09:10:00,2022-02-04 10:46:00,LONG,1796.5,1805.5,,,0.1,85.5,0.0,57,REV
2022-02-04 10:46:00,2022-02-04 12:01:00,SHORT,1805.5,1807.5,,,0.1,-24.5,0.0,12,REV
2022-02-04 12:01:00,2022-02-06 20:30:00,LONG,1807.5,1810.5,,,0.1,25.5,0.0,31,REV
2022-02-06 20:30:00,2022-02-07 03:00:00,SHORT,1810.5,1812.5,,,0.1,-24.5,0.0,14,REV
2022-02-07 03:00:00,2022-02-07 05:26:00,LONG,1812.5,1810.5,,,0.1,-24.5,0.0,14,REV
2022-02-07 05:26:00,2022-02-07 06:50:00,SHORT,1810.5,1812.5,,,0.1,-24.5,0.0,4,REV
2022-02-07 06:50:00,2022-02-07 08:55:00,LONG,1812.5,1813.5,,,0.1,5.5,0.0,23,REV
2022-02-07 08:55:00,2022-02-07 09:23:00,SHORT,1813.5,1815.5,,,0.1,-24.5,0.0,6,REV
2022-02-07 09:23:00,2022-02-07 09:38:00,LONG,1815.5,1813.5,,,0.1,-24.5,0.0,4,REV
2022-02-07 09:38:00,2022-02-07 10:22:00,SHORT,1813.5,1815.5,,,0.1,-24.5,0.0,12,REV
2022-02-07 10:22:00,2022-02-08 01:30:00,LONG,1815.5,1819.5,,,0.1,35.5,0.0,32,REV
2022-02-08 01:30:00,2022-02-08 05:40:00,SHORT,1819.5,1820.5,,,0.1,-14.5,0.0,17,REV
2022-02-08 05:40:00,2022-02-08 07:21:00,LONG,1820.5,1817.5,,,0.1,-34.5,0.0,3,REV
2022-02-08 07:21:00,2022-02-08 08:35:00,SHORT,1817.5,1819.5,,,0.1,-24.5,0.0,8,REV
2022-02-08 08:35:00,2022-02-08 09:52:00,LONG,1819.5,1820.5,,,0.1,5.5,0.0,17,REV
2022-02-08 09:52:00,2022-02-08 10:10:00,SHORT,1820.5,1822.5,,,0.1,-24.5,0.0,4,REV
2022-02-08 10:10:00,2022-02-09 03:36:00,LONG,1822.5,1826.5,,,0.1,35.5,0.0,38,REV
2022-02-09 03:36:00,2022-02-09 03:53:00,SHORT,1826.5,1827.5,,,0.1,-14.5,0.0,1,REV
2022-02-09 03:53:00,2022-02-09 04:22:00,LONG,1827.5,1826.5,,,0.1,-14.5,0.0,1,REV
2022-02-09 04:22:00,2022-02-09 06:09:00,SHORT,1826.5,1827.5,,,0.1,-14.5,0.0,1,REV
2022-02-09 06:09:00,2022-02-09 07:03:00,LONG,1827.5,1826.5,,,0.1,-14.5,0.0,1,REV
2022-02-09 07:03:00,2022-02-09 07:37:00,SHORT,1826.5,1827.5,,,0.1,-14.5,0.0,1,REV
2022-02-09 07:37:00,2022-02-09 07:56:00,LONG,1827.5,1826.5,,,0.1,-14.5,0.0,1,REV
2022-02-09 07:56:00,2022-02-09 08:00:00,SHORT,1826.5,1827.5,,,0.1,-14.5,0.0,1,REV
2022-02-09 08:00:00,2022-02-09 08:46:00,LONG,1827.5,1827.5,,,0.1,-4.5,0.0,14,REV
2022-02-09 08:46:00,2022-02-09 09:46:00,SHORT,1827.5,1829.5,,,0.1,-24.5,0.0,12,REV
2022-02-09 09:46:00,2022-02-09 19:40:00,LONG,1829.5,1832.5,,,0.1,25.5,0.0,33,REV
2022-02-09 19:40:00,2022-02-09 21:25:00,SHORT,1832.5,1834.5,,,0.1,-24.5,0.0,4,REV
2022-02-09 21:25:00,2022-02-10 03:34:00,LONG,1834.5,1831.5,,,0.1,-34.5,0.0,7,REV
2022-02-10 03:34:00,2022-02-10 08:39:00,SHORT,1831.5,1827.5,,,0.1,35.5,0.0,34,REV
2022-02-10 08:39:00,2022-02-10 08:45:00,LONG,1827.5,1830.5,,,0.1,25.5,0.0,17,REV
2022-02-10 08:45:00,2022-02-10 08:59:00,SHORT,1830.5,1831.5,,,0.1,-14.5,0.0,13,REV
2022-02-10 08:59:00,2022-02-10 09:03:00,LONG,1831.5,1828.5,,,0.1,-34.5,0.0,3,REV
2022-02-10 09:03:00,2022-02-10 09:42:00,SHORT,1828.5,1830.5,,,0.1,-24.5,0.0,18,REV
2022-02-10 09:42:00,2022-02-10 12:45:00,LONG,1830.5,1836.5,,,0.1,55.5,0.0,60,REV
2022-02-10 12:45:00,2022-02-10 13:08:00,SHORT,1836.5,1837.5,,,0.1,-14.5,0.0,17,REV
2022-02-10 13:08:00,2022-02-10 13:54:00,LONG,1837.5,1834.5,,,0.1,-34.5,0.0,9,REV
2022-02-10 13:54:00,2022-02-11 04:40:00,SHORT,1834.5,1826.5,,,0.1,75.5,0.0,44,REV
2022-02-11 04:40:00,2022-02-11 08:44:00,LONG,1826.5,1827.5,,,0.1,5.5,0.0,27,REV
2022-02-11 08:44:00,2022-02-11 09:29:00,SHORT,1827.5,1829.5,,,0.1,-24.5,0.0,14,REV
2022-02-11 09:29:00,2022-02-11 11:48:00,LONG,1829.5,1833.5,,,0.1,35.5,0.0,32,REV
2022-02-11 11:48:00,2022-02-11 11:57:00,SHORT,1833.5,1835.5,,,0.1,-24.5,0.0,2,REV
2022-02-11 11:57:00,2022-02-11 14:10:00,LONG,1835.5,1856.5,,,0.1,205.5,0.0,81,REV
2022-02-11 14:10:00,2022-02-11 14:27:00,SHORT,1856.5,1856.5,,,0.1,-4.5,0.0,22,REV
2022-02-11 14:27:00,2022-02-11 15:57:00,LONG,1856.5,1860.5,,,0.1,35.5,0.0,44,REV
2022-02-11 15:57:00,2022-02-11 16:29:00,SHORT,1860.5,1863.5,,,0.1,-34.5,0.0,5,REV
2022-02-11 16:29:00,2022-02-11 16:53:00,LONG,1863.5,1860.5,,,0.1,-34.5,0.0,3,REV
2022-02-11 16:53:00,2022-02-13 18:11:00,SHORT,1860.5,1860.5,,,0.1,-4.5,0.0,18,REV
2022-02-13 18:11:00,2022-02-13 18:42:00,LONG,1860.5,1858.5,,,0.1,-24.5,0.0,4,REV
2022-02-13 18:42:00,2022-02-13 19:23:00,SHORT,1858.5,1860.5,,,0.1,-24.5,0.0,8,REV
2022-02-13 19:23:00,2022-02-13 19:38:00,LONG,1860.5,1858.5,,,0.1,-24.5,0.0,2,REV
2022-02-13 19:38:00,2022-02-13 19:51:00,SHORT,1858.5,1859.5,,,0.1,-14.5,0.0,1,REV
2022-02-13 19:51:00,2022-02-13 20:00:00,LONG,1859.5,1858.5,,,0.1,-14.5,0.0,1,REV
2022-02-13 20:00:00,2022-02-13 21:00:00,SHORT,1858.5,1859.5,,,0.1,-14.5,0.0,9,REV
2022-02-13 21:00:00,2022-02-13 21:30:00,LONG,1859.5,1858.5,,,0.1,-14.5,0.0,1,REV
2022-02-13 21:30:00,2022-02-14 02:39:00,SHORT,1858.5,1853.5,,,0.1,45.5,0.0,29,REV
2022-02-14 02:39:00,2022-02-14 04:34:00,LONG,1853.5,1853.5,,,0.1,-4.5,0.0,20,REV
2022-02-14 04:34:00,2022-02-14 05:00:00,SHORT,1853.5,1856.5,,,0.1,-34.5,0.0,3,REV
2022-02-14 05:00:00,2022-02-14 06:19:00,LONG,1856.5,1854.5,,,0.1,-24.5,0.0,8,REV
2022-02-14 06:19:00,2022-02-14 06:30:00,SHORT,1854.5,1856.5,,,0.1,-24.5,0.0,2,REV
2022-02-14 06:30:00,2022-02-14 07:40:00,LONG,1856.5,1854.5,,,0.1,-24.5,0.0,8,REV
2022-02-14 07:40:00,2022-02-14 07:57:00,SHORT,1854.5,1854.5,,,0.1,-4.5,0.0,16,REV
